Title,Artist
Our Lips Are Sealed,The Go-Go's
Two Princes,Spin Doctors
Surfin' U.S.A.,The Beach Boys
I Melt with You,Modern English
Footloose,Kenny Loggins
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive
Ca Plane Pour Moi,Plastic Bertrand
The Rockafeller Skank,Fatboy Slim
Praise You,Fatboy Slim
Sandstorm,Darude
Better Off Alone,Alice Deejay
Blue (Da Ba Dee),Eiffel 65
Around the World (La La La La La),ATC
Everytime We Touch,Cascada
Heaven,DJ Sammy
Call on Me,Eric Prydz
One More Time,Daft Punk
Music Sounds Better with You,Stardust
Destination Calabria,Alex Gaudino feat. Crystal Waters
Stereo Love,Edward Maya & Vika Jigulina
Levels,Avicii
Don't You Worry Child,Swedish House Mafia
Feel So Close,Calvin Harris
We Found Love,Rihanna feat. Calvin Harris
Where Have You Been,Rihanna
Timber,Pitbull feat. Kesha
Give Me Everything,Pitbull feat. Ne-Yo Afrojack & Nayer
Don't Stop the Party,Pitbull feat. TJR
Hotel Room Service,Pitbull
Time of Our Lives,Pitbull & Ne-Yo
Shots,LMFAO feat. Lil Jon
Sexy and I Know It,LMFAO
Danza Kuduro,Don Omar & Lucenzo
Gasolina,Daddy Yankee
Pepas,Farruko
I Like It,Enrique Iglesias feat. Pitbull
On the Floor,Jennifer Lopez feat. Pitbull
Temperature,Sean Paul
Get Busy,Sean Paul
Turn Me On,Kevin Lyttle
Pon de Replay,Rihanna
Hips Don't Lie,Shakira feat. Wyclef Jean
Whenever Wherever,Shakira
Hey Baby,No Doubt
Hella Good,No Doubt
Move Ya Body,Nina Sky
Let Me Clear My Throat,DJ Kool
C'mon N' Ride It (The Train),Quad City DJ's
Tootsee Roll,69 Boyz
Da Dip,Freak Nasty
Apache (Jump On It),The Sugarhill Gang
Bust a Move,Young MC
Poison,Bell Biv DeVoe
Motownphilly,Boyz II Men
This Is How We Do It,Montell Jordan
Fantastic Voyage,Coolio
1 2 3 4 (Sumpin' New),Coolio
Hypnotize,The Notorious B.I.G.
Mo Money Mo Problems,The Notorious B.I.G.
California Love,2Pac
The Next Episode,Dr. Dre feat. Snoop Dogg
Drop It Like It's Hot,Snoop Dogg feat. Pharrell Williams
Hot in Herre,Nelly
Ride Wit Me,Nelly
Yeah!,Usher feat. Lil Jon & Ludacris
Get Low,Lil Jon & The East Side Boyz
Low,Flo Rida feat. T-Pain
Right Round,Flo Rida
Club Can't Handle Me,Flo Rida feat. David Guetta
Dynamite,Taio Cruz
DJ Got Us Fallin' in Love,Usher feat. Pitbull
Party in the U.S.A.,Miley Cyrus
Raise Your Glass,P!nk
So What,P!nk
Since U Been Gone,Kelly Clarkson
Tik Tok,Kesha
Blow,Kesha
California Gurls,Katy Perry feat. Snoop Dogg
Last Friday Night (T.G.I.F.),Katy Perry
Firework,Katy Perry
Only Girl (In the World),Rihanna
Just Dance,Lady Gaga feat. Colby O'Donis
Poker Face,Lady Gaga
Born This Way,Lady Gaga
Uptown Funk,Mark Ronson feat. Bruno Mars
Treasure,Bruno Mars
Locked Out of Heaven,Bruno Mars
Cake by the Ocean,DNCE
Shut Up and Dance,WALK THE MOON
I Love It,Icona Pop feat. Charli XCX
Good Time,Owl City & Carly Rae Jepsen
Call Me Maybe,Carly Rae Jepsen
Cool for the Summer,Demi Lovato
Break Free,Ariana Grande feat. Zedd
Problem,Ariana Grande feat. Iggy Azalea
Bang Bang,Jessie J Ariana Grande & Nicki Minaj
Don't Start Now,Dua Lipa
Levitating,Dua Lipa
Dance The Night,Dua Lipa
Espresso,Sabrina Carpenter
HOT TO GO!,Chappell Roan
A Bar Song (Tipsy),Shaboozey
The Middle,Zedd Maren Morris & Grey
Closer,The Chainsmokers feat. Halsey
Something Just Like This,The Chainsmokers & Coldplay
Rather Be,Clean Bandit feat. Jess Glynne
Lean On,Major Lazer & DJ Snake feat. MO
Turn Down for What,DJ Snake & Lil Jon
Taki Taki,DJ Snake feat. Selena Gomez Ozuna & Cardi B
Heads Will Roll (A-Trak Remix),Yeah Yeah Yeahs
Mr. Brightside,The Killers
Take Me Out,Franz Ferdinand
Are You Gonna Be My Girl,Jet
Chelsea Dagger,The Fratellis
Song 2,Blur
My Own Worst Enemy,Lit
All the Small Things,blink-182
The Rock Show,blink-182
Fat Lip,Sum 41
The Anthem,Good Charlotte
Sugar We're Goin Down,Fall Out Boy
Ocean Avenue,Yellowcard
Sell Out,Reel Big Fish
The Impression That I Get,The Mighty Mighty Bosstones
Superman,Goldfinger
Down,311
Beautiful Disaster,311
Wrong Way,Sublime
What I Got,Sublime
Santeria,Sublime
Vacation,Dirty Heads
Lay Me Down,Dirty Heads
Sound of Change,Dirty Heads
Dance All Night,Dirty Heads feat. Matisyahu
Amber,311
Could You Be Loved,Bob Marley & The Wailers
Bad Boys,Inner Circle
Electric Avenue,Eddy Grant
Murder She Wrote,Chaka Demus & Pliers
Pass the Dutchie,Musical Youth
You Shook Me All Night Long,AC/DC
Thunderstruck,AC/DC
Panama,Van Halen
Jump,Van Halen
Pour Some Sugar on Me,Def Leppard
You Give Love a Bad Name,Bon Jovi
Livin' on a Prayer,Bon Jovi
Nothin' but a Good Time,Poison
Kickstart My Heart,Motley Crue
We're Not Gonna Take It,Twisted Sister
Cum on Feel the Noize,Quiet Riot
Rock You Like a Hurricane,Scorpions
Paradise City,Guns N' Roses
Dude (Looks Like a Lady),Aerosmith
Any Way You Want It,Journey
Don't Stop Believin',Journey
Jessie's Girl,Rick Springfield
Mony Mony,Billy Idol
Dancing with Myself,Billy Idol
Let's Go Crazy,Prince
1999,Prince
You Spin Me Round (Like a Record),Dead or Alive
Everybody Have Fun Tonight,Wang Chung
Girls Just Want to Have Fun,Cyndi Lauper
Into the Groove,Madonna
Footloose,Kenny Loggins
Walking on Sunshine,Katrina & The Waves
Love Shack,The B-52's
Come on Eileen,Dexys Midnight Runners
The Safety Dance,Men Without Hats
We Got the Beat,The Go-Go's
Vacation,The Go-Go's
September,Earth Wind & Fire
Play That Funky Music,Wild Cherry
Get Down Tonight,KC and the Sunshine Band
Boogie Shoes,KC and the Sunshine Band
You Should Be Dancing,Bee Gees
Hot Hot Hot,Buster Poindexter
Save a Horse (Ride a Cowboy),Big & Rich
Chattahoochee,Alan Jackson
Good Time,Alan Jackson
Boot Scootin' Boogie,Brooks & Dunn
Watermelon Crawl,Tracy Byrd
Pontoon,Little Big Town
Barefoot Blue Jean Night,Jake Owen
Cruise,Florida Georgia Line
Drunk on a Plane,Dierks Bentley
Somewhere on a Beach,Dierks Bentley
Beer in Mexico,Kenny Chesney
When the Sun Goes Down,Kenny Chesney
No Shoes No Shirt No Problems,Kenny Chesney
Chicken Fried,Zac Brown Band
Toes,Zac Brown Band
Man! I Feel Like a Woman!,Shania Twain
Here for a Good Time,George Strait
Save Tonight,Eagle-Eye Cherry
All Summer Long,Kid Rock
Life Is a Highway,Tom Cochrane
