Title,Artist,Album,Year
All the Things She Said,Simple Minds,Once Upon a Time,1985
Someone Somewhere in Summertime,Simple Minds,New Gold Dream (81-82-83-84),1982
Promised You a Miracle,Simple Minds,New Gold Dream (81-82-83-84),1982
New Gold Dream (81-82-83-84),Simple Minds,New Gold Dream (81-82-83-84),1982
Love and Pride,King,Steps in Time,1984
The Politics of Dancing,Re-Flex,The Politics of Dancing,1983
Obsession,Animotion,Animotion,1984
In a Big Country,Big Country,The Crossing,1983
Fields of Fire,Big Country,The Crossing,1983
Look Away,Big Country,The Seer,1986
The Crossing,Big Country,The Crossing,1983
Cuts Like a Diamond,The Icicle Works,Blind,1988
