Title,Artist,Album,Year,Priority,Style,Notes
Monkey Business,Skid Row,Slave to the Grind,1991,Hit,Heavy Metal,
Slave to the Grind,Skid Row,Slave to the Grind,1991,Hit,Heavy Metal,
Wasted Time,Skid Row,Slave to the Grind,1991,Ballad,Power Ballad,
Quicksand Jesus,Skid Row,Slave to the Grind,1991,Deep,Power Ballad,
Riot Act,Skid Row,Slave to the Grind,1991,Deep,Heavy Metal,
Nobody's Fool,Cinderella,Night Songs,1986,Hit,Power Ballad,
Shake Me,Cinderella,Night Songs,1986,Hit,Glam Metal,
Somebody Save Me,Cinderella,Night Songs,1986,Hit,Glam Metal,
Night Songs,Cinderella,Night Songs,1986,Deep,Glam Metal,
Once Around the Ride,Cinderella,Night Songs,1986,Deep,Glam Metal,
Don't Know What You Got (Till It's Gone),Cinderella,Long Cold Winter,1988,Ballad,Power Ballad,
Gypsy Road,Cinderella,Long Cold Winter,1988,Hit,Blues Rock,
The Last Mile,Cinderella,Long Cold Winter,1988,Hit,Blues Rock,
Coming Home,Cinderella,Long Cold Winter,1988,Ballad,Power Ballad,
Long Cold Winter,Cinderella,Long Cold Winter,1988,Deep,Blues Rock,
Shelter Me,Cinderella,Heartbreak Station,1990,Hit,Blues Rock,
Heartbreak Station,Cinderella,Heartbreak Station,1990,Ballad,Power Ballad,
The More Things Change,Cinderella,Heartbreak Station,1990,Deep,Blues Rock,
Modern Day Cowboy,Tesla,Mechanical Resonance,1986,Hit,Hard Rock,
Little Suzi,Tesla,Mechanical Resonance,1986,Hit,Hard Rock,
Gettin' Better,Tesla,Mechanical Resonance,1986,Deep,Hard Rock,
Comin' Atcha Live,Tesla,Mechanical Resonance,1986,Deep,Hard Rock,
Rock Me to the Top,Tesla,Mechanical Resonance,1986,Deep,Hard Rock,
Love Song,Tesla,The Great Radio Controversy,1989,Ballad,Power Ballad,
Heaven's Trail (No Way Out),Tesla,The Great Radio Controversy,1989,Hit,Hard Rock,
Hang Tough,Tesla,The Great Radio Controversy,1989,Hit,Hard Rock,
The Way It Is,Tesla,The Great Radio Controversy,1989,Hit,Hard Rock,
"Lazy Days, Crazy Nights",Tesla,The Great Radio Controversy,1989,Deep,Hard Rock,
Edison's Medicine,Tesla,Psychotic Supper,1991,Hit,Hard Rock,
What You Give,Tesla,Psychotic Supper,1991,Ballad,Power Ballad,
Call It What You Want,Tesla,Psychotic Supper,1991,Deep,Hard Rock,
Down Boys,Warrant,Dirty Rotten Filthy Stinking Rich,1989,Hit,Glam Metal,
Heaven,Warrant,Dirty Rotten Filthy Stinking Rich,1989,Ballad,Power Ballad,
Sometimes She Cries,Warrant,Dirty Rotten Filthy Stinking Rich,1989,Ballad,Power Ballad,
Big Talk,Warrant,Dirty Rotten Filthy Stinking Rich,1989,Hit,Glam Metal,
32 Pennies,Warrant,Dirty Rotten Filthy Stinking Rich,1989,Deep,Glam Metal,
Cherry Pie,Warrant,Cherry Pie,1990,Hit,Glam Metal,
I Saw Red,Warrant,Cherry Pie,1990,Ballad,Power Ballad,
Uncle Tom's Cabin,Warrant,Cherry Pie,1990,Hit,Hard Rock,
Blind Faith,Warrant,Cherry Pie,1990,Ballad,Power Ballad,
Sure Feels Good to Me,Warrant,Cherry Pie,1990,Deep,Glam Metal,
Rock Me,Great White,Once Bitten,1987,Hit,Blues Rock,
Save Your Love,Great White,Once Bitten,1987,Ballad,Power Ballad,
Lady Red Light,Great White,Once Bitten,1987,Deep,Blues Rock,
All Over Now,Great White,Once Bitten,1987,Deep,Blues Rock,
"Once Bitten, Twice Shy",Great White,...Twice Shy,1989,Hit,Blues Rock,
The Angel Song,Great White,...Twice Shy,1989,Ballad,Power Ballad,
House of Broken Love,Great White,...Twice Shy,1989,Deep,Blues Rock,
Mista Bone,Great White,...Twice Shy,1989,Deep,Blues Rock,
Call It Rock N' Roll,Great White,Hooked,1991,Hit,Blues Rock,
Desert Moon,Great White,Hooked,1991,Deep,Blues Rock,
You Give Love a Bad Name,Bon Jovi,Slippery When Wet,1986,Hit,Arena Rock,
Livin' on a Prayer,Bon Jovi,Slippery When Wet,1986,Hit,Arena Rock,
Wanted Dead or Alive,Bon Jovi,Slippery When Wet,1986,Hit,Arena Rock,
Raise Your Hands,Bon Jovi,Slippery When Wet,1986,Deep,Arena Rock,
Never Say Goodbye,Bon Jovi,Slippery When Wet,1986,Ballad,Power Ballad,
Bad Medicine,Bon Jovi,New Jersey,1988,Hit,Arena Rock,
Born to Be My Baby,Bon Jovi,New Jersey,1988,Hit,Arena Rock,
I'll Be There for You,Bon Jovi,New Jersey,1988,Ballad,Power Ballad,
Lay Your Hands on Me,Bon Jovi,New Jersey,1988,Hit,Arena Rock,
Living in Sin,Bon Jovi,New Jersey,1988,Hit,Arena Rock,
Blood on Blood,Bon Jovi,New Jersey,1988,Deep,Arena Rock,
No One Like You,Scorpions,Blackout,1982,Hit,Hard Rock,
Blackout,Scorpions,Blackout,1982,Hit,Hard Rock,
Dynamite,Scorpions,Blackout,1982,Deep,Hard Rock,
Can't Live Without You,Scorpions,Blackout,1982,Deep,Hard Rock,
Rock You Like a Hurricane,Scorpions,Love at First Sting,1984,Hit,Hard Rock,
Big City Nights,Scorpions,Love at First Sting,1984,Hit,Hard Rock,
Still Loving You,Scorpions,Love at First Sting,1984,Ballad,Power Ballad,
Bad Boys Running Wild,Scorpions,Love at First Sting,1984,Deep,Hard Rock,
Coming Home,Scorpions,Love at First Sting,1984,Deep,Hard Rock,
Rhythm of Love,Scorpions,Savage Amusement,1988,Hit,Hard Rock,
Believe in Love,Scorpions,Savage Amusement,1988,Ballad,Power Ballad,
Don't Stop at the Top,Scorpions,Savage Amusement,1988,Deep,Hard Rock,
Wind of Change,Scorpions,Crazy World,1990,Ballad,Power Ballad,
Tease Me Please Me,Scorpions,Crazy World,1990,Hit,Hard Rock,
Don't Believe Her,Scorpions,Crazy World,1990,Deep,Hard Rock,
Metal Health (Bang Your Head),Quiet Riot,Metal Health,1983,Hit,Metal,
Cum On Feel the Noize,Quiet Riot,Metal Health,1983,Hit,Metal,
Slick Black Cadillac,Quiet Riot,Metal Health,1983,Deep,Metal,
Don't Wanna Let You Go,Quiet Riot,Metal Health,1983,Deep,Metal,
Mama Weer All Crazee Now,Quiet Riot,Condition Critical,1984,Hit,Metal,
Party All Night,Quiet Riot,Condition Critical,1984,Deep,Metal,
Winners Take All,Quiet Riot,Condition Critical,1984,Deep,Metal,
We're Not Gonna Take It,Twisted Sister,Stay Hungry,1984,Hit,Metal,
I Wanna Rock,Twisted Sister,Stay Hungry,1984,Hit,Metal,
The Price,Twisted Sister,Stay Hungry,1984,Ballad,Power Ballad,
Burn in Hell,Twisted Sister,Stay Hungry,1984,Deep,Metal,
S.M.F.,Twisted Sister,Stay Hungry,1984,Deep,Metal,
Leader of the Pack,Twisted Sister,Come Out and Play,1985,Deep,Metal,
Be Chrool to Your Scuel,Twisted Sister,Come Out and Play,1985,Deep,Metal,
I Wanna Be Somebody,W.A.S.P.,W.A.S.P.,1984,Hit,Metal,
L.O.V.E. Machine,W.A.S.P.,W.A.S.P.,1984,Hit,Metal,
School Daze,W.A.S.P.,W.A.S.P.,1984,Deep,Metal,
Hellion,W.A.S.P.,W.A.S.P.,1984,Deep,Metal,
Wild Child,W.A.S.P.,The Last Command,1985,Hit,Metal,
Blind in Texas,W.A.S.P.,The Last Command,1985,Hit,Metal,
Ballcrusher,W.A.S.P.,The Last Command,1985,Deep,Metal,
Fistful of Diamonds,W.A.S.P.,The Last Command,1985,Deep,Metal,
Mean Man,W.A.S.P.,The Headless Children,1989,Hit,Metal,
The Real Me,W.A.S.P.,The Headless Children,1989,Hit,Metal,
Forever Free,W.A.S.P.,The Headless Children,1989,Ballad,Power Ballad,
The Headless Children,W.A.S.P.,The Headless Children,1989,Deep,Metal,
Wait,White Lion,Pride,1987,Hit,Glam Metal,
When the Children Cry,White Lion,Pride,1987,Ballad,Power Ballad,
Tell Me,White Lion,Pride,1987,Hit,Glam Metal,
Hungry,White Lion,Pride,1987,Deep,Glam Metal,
Lady of the Valley,White Lion,Pride,1987,Deep,Glam Metal,
Little Fighter,White Lion,Big Game,1989,Hit,Glam Metal,
Radar Love,White Lion,Big Game,1989,Hit,Glam Metal,
Cry for Freedom,White Lion,Big Game,1989,Ballad,Power Ballad,
Love Don't Come Easy,White Lion,Mane Attraction,1991,Hit,Glam Metal,
Broken Heart,White Lion,Mane Attraction,1991,Ballad,Power Ballad,
Lights and Thunder,White Lion,Mane Attraction,1991,Deep,Glam Metal,
Sex Action,L.A. Guns,L.A. Guns,1988,Hit,Sleaze Rock,
Electric Gypsy,L.A. Guns,L.A. Guns,1988,Hit,Sleaze Rock,
One More Reason,L.A. Guns,L.A. Guns,1988,Deep,Sleaze Rock,
No Mercy,L.A. Guns,L.A. Guns,1988,Deep,Sleaze Rock,
The Ballad of Jayne,L.A. Guns,Cocked & Loaded,1989,Ballad,Power Ballad,
Never Enough,L.A. Guns,Cocked & Loaded,1989,Hit,Sleaze Rock,
Rip and Tear,L.A. Guns,Cocked & Loaded,1989,Hit,Sleaze Rock,
I Wanna Be Your Man,L.A. Guns,Cocked & Loaded,1989,Deep,Sleaze Rock,
Malaria,L.A. Guns,Cocked & Loaded,1989,Deep,Sleaze Rock,
Kiss My Love Goodbye,L.A. Guns,Hollywood Vampires,1991,Hit,Sleaze Rock,
It's Over Now,L.A. Guns,Hollywood Vampires,1991,Ballad,Power Ballad,
Crystal Eyes,L.A. Guns,Hollywood Vampires,1991,Deep,Sleaze Rock,
Bathroom Wall,Faster Pussycat,Faster Pussycat,1987,Hit,Sleaze Rock,
Don't Change That Song,Faster Pussycat,Faster Pussycat,1987,Hit,Sleaze Rock,
Cathouse,Faster Pussycat,Faster Pussycat,1987,Deep,Sleaze Rock,
Babylon,Faster Pussycat,Faster Pussycat,1987,Deep,Sleaze Rock,
House of Pain,Faster Pussycat,Wake Me When It's Over,1989,Ballad,Power Ballad,
Poison Ivy,Faster Pussycat,Wake Me When It's Over,1989,Hit,Sleaze Rock,
Where There's a Whip There's a Way,Faster Pussycat,Wake Me When It's Over,1989,Deep,Sleaze Rock,
Smooth Up in Ya,BulletBoys,BulletBoys,1988,Hit,Glam Metal,
For the Love of Money,BulletBoys,BulletBoys,1988,Hit,Glam Metal,
Hard as a Rock,BulletBoys,BulletBoys,1988,Deep,Glam Metal,
Kissin' Kitty,BulletBoys,BulletBoys,1988,Deep,Glam Metal,
Hang on St. Christopher,BulletBoys,Freakshow,1991,Hit,Glam Metal,
THC Groove,BulletBoys,Freakshow,1991,Deep,Glam Metal,
Midnite Dynamite,Kix,Midnite Dynamite,1985,Deep,Glam Metal,
Cold Shower,Kix,Midnite Dynamite,1985,Deep,Glam Metal,
Sex,Kix,Midnite Dynamite,1985,Deep,Glam Metal,
Don't Close Your Eyes,Kix,Blow My Fuse,1988,Ballad,Power Ballad,
Cold Blood,Kix,Blow My Fuse,1988,Hit,Glam Metal,
Blow My Fuse,Kix,Blow My Fuse,1988,Hit,Glam Metal,
"Red Lite, Green Lite, TNT",Kix,Blow My Fuse,1988,Deep,Glam Metal,
Girl Money,Kix,Hot Wire,1991,Hit,Glam Metal,
Tear Down the Walls,Kix,Hot Wire,1991,Deep,Glam Metal,
Turn Up the Radio,Autograph,Sign in Please,1984,Hit,Glam Metal,
Send Her to Me,Autograph,Sign in Please,1984,Hit,Glam Metal,
My Girlfriend's Boyfriend Isn't Me,Autograph,Sign in Please,1984,Deep,Glam Metal,
Friday,Autograph,Sign in Please,1984,Deep,Glam Metal,
Blondes in Black Cars,Autograph,That's the Stuff,1985,Deep,Glam Metal,
That's the Stuff,Autograph,That's the Stuff,1985,Deep,Glam Metal,
Edge of a Broken Heart,Vixen,Vixen,1988,Hit,Glam Metal,
Cryin',Vixen,Vixen,1988,Hit,Glam Metal,
Love Made Me,Vixen,Vixen,1988,Deep,Glam Metal,
I Want You to Rock Me,Vixen,Vixen,1988,Deep,Glam Metal,
How Much Love,Vixen,Rev It Up,1990,Hit,Glam Metal,
Love Is a Killer,Vixen,Rev It Up,1990,Ballad,Power Ballad,
Rev It Up,Vixen,Rev It Up,1990,Deep,Glam Metal,
Up All Night,Slaughter,Stick It to Ya,1990,Hit,Glam Metal,
Fly to the Angels,Slaughter,Stick It to Ya,1990,Ballad,Power Ballad,
Spend My Life,Slaughter,Stick It to Ya,1990,Hit,Glam Metal,
Mad About You,Slaughter,Stick It to Ya,1990,Deep,Glam Metal,
Burnin' Bridges,Slaughter,Stick It to Ya,1990,Deep,Glam Metal,
Real Love,Slaughter,The Wild Life,1992,Ballad,Power Ballad,
The Wild Life,Slaughter,The Wild Life,1992,Hit,Glam Metal,
Days Gone By,Slaughter,The Wild Life,1992,Deep,Glam Metal,
Don't Treat Me Bad,FireHouse,FireHouse,1990,Hit,Glam Metal,
Love of a Lifetime,FireHouse,FireHouse,1990,Ballad,Power Ballad,
All She Wrote,FireHouse,FireHouse,1990,Hit,Glam Metal,
Overnight Sensation,FireHouse,FireHouse,1990,Deep,Glam Metal,
Reach for the Sky,FireHouse,Hold Your Fire,1992,Hit,Glam Metal,
When I Look into Your Eyes,FireHouse,Hold Your Fire,1992,Ballad,Power Ballad,
Sleeping with You,FireHouse,Hold Your Fire,1992,Deep,Glam Metal,
Madalaine,Winger,Winger,1988,Hit,Glam Metal,
Seventeen,Winger,Winger,1988,Hit,Glam Metal,
Headed for a Heartbreak,Winger,Winger,1988,Ballad,Power Ballad,
Hungry,Winger,Winger,1988,Deep,Glam Metal,
Time to Surrender,Winger,Winger,1988,Deep,Glam Metal,
Can't Get Enuff,Winger,In the Heart of the Young,1990,Hit,Glam Metal,
Miles Away,Winger,In the Heart of the Young,1990,Ballad,Power Ballad,
Easy Come Easy Go,Winger,In the Heart of the Young,1990,Hit,Glam Metal,
Rainbow in the Rose,Winger,In the Heart of the Young,1990,Deep,Glam Metal,
Naughty Naughty,Danger Danger,Danger Danger,1989,Hit,Glam Metal,
Bang Bang,Danger Danger,Danger Danger,1989,Hit,Glam Metal,
One Step from Paradise,Danger Danger,Danger Danger,1989,Ballad,Power Ballad,
Rock America,Danger Danger,Danger Danger,1989,Deep,Glam Metal,
Don't Walk Away,Danger Danger,Danger Danger,1989,Deep,Glam Metal,
Monkey Business,Danger Danger,Screw It!,1991,Hit,Glam Metal,
I Still Think About You,Danger Danger,Screw It!,1991,Ballad,Power Ballad,
Beat the Bullet,Danger Danger,Screw It!,1991,Deep,Glam Metal,
Long Way to Love,Britny Fox,Britny Fox,1988,Hit,Glam Metal,
Girlschool,Britny Fox,Britny Fox,1988,Hit,Glam Metal,
Save the Weak,Britny Fox,Britny Fox,1988,Ballad,Power Ballad,
Fun in Texas,Britny Fox,Britny Fox,1988,Deep,Glam Metal,
Dream On,Britny Fox,Boys in Heat,1989,Hit,Glam Metal,
Standing in the Shadows,Britny Fox,Boys in Heat,1989,Deep,Glam Metal,
Hair of the Dog,Britny Fox,Boys in Heat,1989,Deep,Glam Metal,
Wicked Sensation,Lynch Mob,Wicked Sensation,1990,Hit,Melodic Metal,
River of Love,Lynch Mob,Wicked Sensation,1990,Hit,Melodic Metal,
Tangled in the Web,Lynch Mob,Wicked Sensation,1990,Deep,Melodic Metal,
No Bed of Roses,Lynch Mob,Wicked Sensation,1990,Deep,Melodic Metal,
Valley of the Kings,Blue Murder,Blue Murder,1989,Deep,Hard Rock,
Jelly Roll,Blue Murder,Blue Murder,1989,Hit,Hard Rock,
Blue Murder,Blue Murder,Blue Murder,1989,Deep,Hard Rock,
Out of Love,Blue Murder,Blue Murder,1989,Ballad,Power Ballad,
Get It On,Kingdom Come,Kingdom Come,1988,Hit,Hard Rock,
What Love Can Be,Kingdom Come,Kingdom Come,1988,Ballad,Power Ballad,
Living Out of Touch,Kingdom Come,Kingdom Come,1988,Deep,Hard Rock,
Do You Like It,Kingdom Come,Kingdom Come,1988,Deep,Hard Rock,
Walkin' Shoes,Tora Tora,Surprise Attack,1989,Hit,Blues Rock,
Phantom Rider,Tora Tora,Surprise Attack,1989,Ballad,Power Ballad,
Guilty,Tora Tora,Surprise Attack,1989,Deep,Blues Rock,
Dancing with a Gypsy,Tora Tora,Surprise Attack,1989,Deep,Blues Rock,
Bang Go the Bells,Babylon A.D.,Babylon A.D.,1989,Hit,Glam Metal,
Hammer Swings Down,Babylon A.D.,Babylon A.D.,1989,Deep,Glam Metal,
The Kid Goes Wild,Babylon A.D.,Babylon A.D.,1989,Hit,Glam Metal,
Desperate,Babylon A.D.,Babylon A.D.,1989,Deep,Glam Metal,
Give It to Me Good,Trixter,Trixter,1990,Hit,Glam Metal,
One in a Million,Trixter,Trixter,1990,Ballad,Power Ballad,
Surrender,Trixter,Trixter,1990,Hit,Glam Metal,
Heart of Steel,Trixter,Trixter,1990,Deep,Glam Metal,
New Thing,Enuff Z'Nuff,Enuff Z'Nuff,1989,Hit,Glam Metal,
Fly High Michelle,Enuff Z'Nuff,Enuff Z'Nuff,1989,Ballad,Power Ballad,
Hot Little Summer Girl,Enuff Z'Nuff,Enuff Z'Nuff,1989,Deep,Glam Metal,
(Can't Live Without Your) Love and Affection,Nelson,After the Rain,1990,Hit,Glam Metal,
After the Rain,Nelson,After the Rain,1990,Ballad,Power Ballad,
More Than Ever,Nelson,After the Rain,1990,Deep,Glam Metal,
I'll Never Let You Go,Steelheart,Steelheart,1990,Ballad,Power Ballad,
She's Gone,Steelheart,Steelheart,1990,Ballad,Power Ballad,
Everybody Loves Eileen,Steelheart,Steelheart,1990,Hit,Glam Metal,
Can't Stop Me Lovin' You,Steelheart,Steelheart,1990,Hit,Glam Metal,
Love Is on the Way,Saigon Kick,The Lizard,1992,Ballad,Power Ballad,
Hostile Youth,Saigon Kick,The Lizard,1992,Deep,Hard Rock,
Peppermint Tribe,Saigon Kick,The Lizard,1992,Deep,Hard Rock,
Decadence Dance,Extreme,Extreme II: Pornograffitti,1990,Hit,Funk Metal,
Get the Funk Out,Extreme,Extreme II: Pornograffitti,1990,Hit,Funk Metal,
More Than Words,Extreme,Extreme II: Pornograffitti,1990,Ballad,Power Ballad,
Hole Hearted,Extreme,Extreme II: Pornograffitti,1990,Hit,Acoustic Rock,
Green-Tinted Sixties Mind,Mr. Big,Lean into It,1991,Hit,Hard Rock,
To Be with You,Mr. Big,Lean into It,1991,Ballad,Power Ballad,
"Daddy, Brother, Lover, Little Boy",Mr. Big,Lean into It,1991,Deep,Hard Rock,
Alive and Kickin',Mr. Big,Lean into It,1991,Hit,Hard Rock,
Dreams in the Dark,Badlands,Badlands,1989,Hit,Blues Rock,
Winter's Call,Badlands,Badlands,1989,Deep,Blues Rock,
High Wire,Badlands,Badlands,1989,Hit,Blues Rock,
Streets Cry Freedom,Badlands,Badlands,1989,Deep,Blues Rock,
We Stand Alone,Killer Dwarfs,Big Deal,1988,Deep,Glam Metal,
Start @ One,Killer Dwarfs,Big Deal,1988,Deep,Glam Metal,
Tell Me Please,Killer Dwarfs,Big Deal,1988,Deep,Glam Metal,
