Title,Artist,Album,Year
Hands Across the Sea,Modern English,Stop Start,1986
Tenderness,General Public,All the Rage,1984
Save It for Later,The English Beat,Special Beat Service,1982
Mirror in the Bathroom,The English Beat,I Just Can't Stop It,1980
I Confess,The English Beat,Special Beat Service,1982
Ranking Full Stop,The English Beat,I Just Can't Stop It,1980
A Message to You Rudy,The Specials,The Specials,1979
Ghost Town,The Specials,Ghost Town,1981
Our House,Madness,The Rise & Fall,1982
One Step Beyond,Madness,One Step Beyond...,1979
It Must Be Love,Madness,7,1981
Too Much Too Young,The Specials,The Specials,1979
Whip It,Devo,Freedom of Choice,1980
Girl U Want,Devo,Freedom of Choice,1980
Beautiful World,Devo,New Traditionalists,1981
Peek-a-Boo,Devo,Oh No! It's Devo,1982
Uncontrollable Urge,Devo,Q: Are We Not Men? A: We Are Devo!,1978
Rock Lobster,The B-52's,The B-52's,1979
Private Idaho,The B-52's,Wild Planet,1980
Planet Claire,The B-52's,The B-52's,1979
Legal Tender,The B-52's,Whammy!,1983
Channel Z,The B-52's,Cosmic Thing,1989
Love Shack,The B-52's,Cosmic Thing,1989
Roam,The B-52's,Cosmic Thing,1989
Burning Down the House,Talking Heads,Speaking in Tongues,1983
Once in a Lifetime,Talking Heads,Remain in Light,1980
And She Was,Talking Heads,Little Creatures,1985
Road to Nowhere,Talking Heads,Little Creatures,1985
Wild Wild Life,Talking Heads,True Stories,1986
Life During Wartime,Talking Heads,Fear of Music,1979
She Blinded Me with Science,Thomas Dolby,The Golden Age of Wireless,1982
Europa and the Pirate Twins,Thomas Dolby,The Golden Age of Wireless,1981
One Thing Leads to Another,The Fixx,Reach the Beach,1983
Saved by Zero,The Fixx,Reach the Beach,1983
Red Skies,The Fixx,Shuttered Room,1982
Stand or Fall,The Fixx,Shuttered Room,1982
Major Tom (Coming Home),Peter Schilling,Error in the System,1983
The Metro,Berlin,Pleasure Victim,1982
Sex (I'm A...),Berlin,Pleasure Victim,1982
No More Words,Berlin,Love Life,1984
Dancing with Myself,Billy Idol,Don't Stop,1981
White Wedding,Billy Idol,Billy Idol,1982
Rebel Yell,Billy Idol,Rebel Yell,1983
Eyes Without a Face,Billy Idol,Rebel Yell,1983
To Be a Lover,Billy Idol,Whiplash Smile,1986
Sixty Eight Guns,The Alarm,Declaration,1984
The Stand,The Alarm,Declaration,1984
Rain in the Summertime,The Alarm,Eye of the Hurricane,1987
Spirit of '76,The Alarm,Strength,1985
Under the Milky Way,The Church,Starfish,1988
Reptile,The Church,Starfish,1988
Unguarded Moment,The Church,Of Skins and Heart,1981
So Alive,Love and Rockets,Love and Rockets,1989
No New Tale to Tell,Love and Rockets,Earth Sun Moon,1987
Ball of Confusion,Love and Rockets,Express,1986
Go!,Tones on Tail,The Album Pop,1984
Christian Says,Tones on Tail,Pop,1984
Bela Lugosi's Dead,Bauhaus,Bela Lugosi's Dead,1979
Ziggy Stardust,Bauhaus,The Sky's Gone Out,1982
She's in Parties,Bauhaus,Burning from the Inside,1983
Cuts You Up,Peter Murphy,Deep,1989
All Night Long,Peter Murphy,Love Hysteria,1988
This Corrosion,The Sisters of Mercy,Floodland,1987
Lucretia My Reflection,The Sisters of Mercy,Floodland,1987
Dominion / Mother Russia,The Sisters of Mercy,Floodland,1987
Cities in Dust,Siouxsie and the Banshees,Tinderbox,1986
Peek-a-Boo,Siouxsie and the Banshees,Peepshow,1988
Dear Prudence,Siouxsie and the Banshees,Hyæna,1984
Spellbound,Siouxsie and the Banshees,Juju,1981
Happy House,Siouxsie and the Banshees,Kaleidoscope,1980
Do You Wanna Hold Me?,Bow Wow Wow,When the Going Gets Tough the Tough Get Going,1983
I Want Candy,Bow Wow Wow,The Last of the Mohicans,1982
C30 C60 C90 Go,Bow Wow Wow,Your Cassette Pet,1980
The Boy with the Thorn in His Side,The Smiths,The Queen Is Dead,1986
Blister in the Sun,Violent Femmes,Violent Femmes,1983
Kiss Off,Violent Femmes,Violent Femmes,1983
Add It Up,Violent Femmes,Violent Femmes,1983
Gone Daddy Gone,Violent Femmes,Violent Femmes,1983
Wild in the Streets,Circle Jerks,Wild in the Streets,1982
Institutionalized,Suicidal Tendencies,Suicidal Tendencies,1983
Holiday in Cambodia,Dead Kennedys,Fresh Fruit for Rotting Vegetables,1980
California Über Alles,Dead Kennedys,Fresh Fruit for Rotting Vegetables,1980
Too Drunk to Fuck,Dead Kennedys,Too Drunk to Fuck,1981
Los Angeles,X,Los Angeles,1980
Johnny Hit and Run Paulene,X,Los Angeles,1980
The Hungry Wolf,X,Under the Big Black Sun,1982
Blue Spark,X,Under the Big Black Sun,1982
Burning House of Love,X,Ain't Love Grand!,1985
White Girl,X,Wild Gift,1981
Marie Marie,The Blasters,The Blasters,1981
American Music,The Blasters,The Blasters,1981
So Long Baby Goodbye,The Blasters,The Blasters,1981
Anything Anything,Dramarama,Cinéma Vérité,1985
Last Cigarette,Dramarama,Stuck in Wonderamaland,1989
Work for Food,Dramarama,Stuck in Wonderamaland,1989
Still in Hollywood,Concrete Blonde,Concrete Blonde,1986
God Is a Bullet,Concrete Blonde,Free,1989
What's So Funny 'Bout Peace Love and Understanding,Elvis Costello & The Attractions,Armed Forces,1979
Pump It Up,Elvis Costello & The Attractions,This Year's Model,1978
Veronica,Elvis Costello,Spike,1989
Oliver's Army,Elvis Costello & The Attractions,Armed Forces,1979
Radio Radio,Elvis Costello & The Attractions,This Year's Model,1978
I Will Dare,The Replacements,Let It Be,1984
Bastards of Young,The Replacements,Tim,1985
Alex Chilton,The Replacements,Pleased to Meet Me,1987
Can't Hardly Wait,The Replacements,Pleased to Meet Me,1987
Left of the Dial,The Replacements,Tim,1985
Don't Want to Know If You Are Lonely,Hüsker Dü,Candy Apple Grey,1986
Makes No Sense at All,Hüsker Dü,Flip Your Wig,1985
Could You Be the One?,Hüsker Dü,Warehouse: Songs and Stories,1987
The One I Love,R.E.M.,Document,1987
It's the End of the World as We Know It,R.E.M.,Document,1987
Radio Free Europe,R.E.M.,Murmur,1983
Driver 8,R.E.M.,Fables of the Reconstruction,1985
Fall on Me,R.E.M.,Lifes Rich Pageant,1986
Orange Crush,R.E.M.,Green,1988
Stand,R.E.M.,Green,1988
She Sells Sanctuary,The Cult,Love,1985
Rain,The Cult,Love,1985
Love Removal Machine,The Cult,Electric,1987
Fire Woman,The Cult,Sonic Temple,1989
Wild Flower,The Cult,Electric,1987
Sweet Soul Sister,The Cult,Sonic Temple,1989
Eighties,Killing Joke,Night Time,1985
Love Like Blood,Killing Joke,Night Time,1985
Requiem,Killing Joke,Killing Joke,1980
The Passenger,Siouxsie and the Banshees,Through the Looking Glass,1987
All Stood Still,Ultravox,Vienna,1980
Vienna,Ultravox,Vienna,1980
Dancing with Tears in My Eyes,Ultravox,Lament,1984
Reap the Wild Wind,Ultravox,Quartet,1982
Always Something There to Remind Me,Naked Eyes,Naked Eyes,1983
Promises Promises,Naked Eyes,Naked Eyes,1983
The Promise,When in Rome,When in Rome,1988
A Million Miles Away,The Plimsouls,Everywhere at Once,1983
Oldest Story in the World,The Plimsouls,Everywhere at Once,1983
Valley Girl,Frank Zappa & Moon Unit Zappa,Ship Arriving Too Late to Save a Drowning Witch,1982
88 Lines About 44 Women,The Nails,Mood Swing,1984
Turning Japanese,The Vapors,New Clear Days,1980
I Ran (So Far Away),A Flock of Seagulls,A Flock of Seagulls,1982
Space Age Love Song,A Flock of Seagulls,A Flock of Seagulls,1982
Wishing (If I Had a Photograph of You),A Flock of Seagulls,Listen,1982
Telecommunication,A Flock of Seagulls,A Flock of Seagulls,1982
Cars,Gary Numan,The Pleasure Principle,1979
Are Friends Electric?,Tubeway Army,Replicas,1979
Der Kommissar,After the Fire,ATF,1982
Der Kommissar,Falco,Einzelhaft,1982
Rock Me Amadeus,Falco,Falco 3,1985
Vienna Calling,Falco,Falco 3,1985
Don't You Want Me,The Human League,Dare,1981
Love Action,The Human League,Dare,1981
Mirror Man,The Human League,Fascination!,1982
Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,1981
Bedsitter,Soft Cell,Non-Stop Erotic Cabaret,1981
Smalltown Boy,Bronski Beat,The Age of Consent,1984
Why?,Bronski Beat,The Age of Consent,1984
Situation,Yazoo,Upstairs at Eric's,1982
Don't Go,Yazoo,Upstairs at Eric's,1982
Only You,Yazoo,Upstairs at Eric's,1982
Always on My Mind,Pet Shop Boys,Actually,1987
West End Girls,Pet Shop Boys,Please,1986
Opportunities,Pet Shop Boys,Please,1986
It's a Sin,Pet Shop Boys,Actually,1987
What Have I Done to Deserve This?,Pet Shop Boys,Actually,1987
Hungry Like the Wolf,Duran Duran,Rio,1982
Rio,Duran Duran,Rio,1982
Girls on Film,Duran Duran,Duran Duran,1981
Planet Earth,Duran Duran,Duran Duran,1981
The Reflex,Duran Duran,Seven and the Ragged Tiger,1983
Save a Prayer,Duran Duran,Rio,1982
New Moon on Monday,Duran Duran,Seven and the Ragged Tiger,1983
The Chauffeur,Duran Duran,Rio,1982
Don't Change,INXS,Shabooh Shoobah,1982
The One Thing,INXS,Shabooh Shoobah,1982
Original Sin,INXS,The Swing,1984
What You Need,INXS,Listen Like Thieves,1985
Need You Tonight,INXS,Kick,1987
Devil Inside,INXS,Kick,1987
New Sensation,INXS,Kick,1987
Never Tear Us Apart,INXS,Kick,1987
Everybody Wants to Rule the World,Tears for Fears,Songs from the Big Chair,1985
Shout,Tears for Fears,Songs from the Big Chair,1985
Head Over Heels,Tears for Fears,Songs from the Big Chair,1985
Mad World,Tears for Fears,The Hurting,1983
Change,Tears for Fears,The Hurting,1983
The Whole of the Moon,The Waterboys,This Is the Sea,1985
Fisherman's Blues,The Waterboys,Fisherman's Blues,1988
Come On Eileen,Dexys Midnight Runners,Too-Rye-Ay,1982
Geno,Dexys Midnight Runners,Searching for the Young Soul Rebels,1980
Life in a Northern Town,The Dream Academy,The Dream Academy,1985
Don't Dream It's Over,Crowded House,Crowded House,1986
Something So Strong,Crowded House,Crowded House,1986
World Where You Live,Crowded House,Crowded House,1986
Into the Groove,Madonna,Like a Virgin,1985
Our Lips Are Sealed,The Go-Go's,Beauty and the Beat,1981
We Got the Beat,The Go-Go's,Beauty and the Beat,1981
Head Over Heels,The Go-Go's,Talk Show,1984
Vacation,The Go-Go's,Vacation,1982
Kids in America,Kim Wilde,Kim Wilde,1981
Mickey,Toni Basil,Word of Mouth,1982
Walking on Sunshine,Katrina and the Waves,Katrina and the Waves,1985
I Know What Boys Like,The Waitresses,Wasn't Tomorrow Wonderful?,1982
Christmas Wrapping,The Waitresses,A Christmas Record,1981
I Want to Be a Cowboy,Boys Don't Cry,Boys Don't Cry,1986
Don't You (Forget About Me),Simple Minds,The Breakfast Club,1985
Alive and Kicking,Simple Minds,Once Upon a Time,1985
Sanctify Yourself,Simple Minds,Once Upon a Time,1985
Waterfront,Simple Minds,Sparkle in the Rain,1984
This Is Not a Love Song,Public Image Ltd,This Is What You Want... This Is What You Get,1984
Rise,Public Image Ltd,Album,1986
Love Missile F1-11,Sigue Sigue Sputnik,Flaunt It,1986
21st Century Boy,Sigue Sigue Sputnik,Dress for Excess,1988
Sex Dwarf,Soft Cell,Non-Stop Erotic Cabaret,1981
Pop Muzik,M,New York London Paris Munich,1979
Video Killed the Radio Star,The Buggles,The Age of Plastic,1979
Tarzan Boy,Baltimora,Living in the Background,1985
One Night in Bangkok,Murray Head,Chess,1984
Election Day,Arcadia,So Red the Rose,1985
Some Like It Hot,The Power Station,The Power Station,1985
Perfect Way,Scritti Politti,Cupid & Psyche 85,1985
Wood Beez,Scritti Politti,Cupid & Psyche 85,1984
Johnny Come Home,Fine Young Cannibals,Fine Young Cannibals,1985
She Drives Me Crazy,Fine Young Cannibals,The Raw & the Cooked,1989
Good Thing,Fine Young Cannibals,The Raw & the Cooked,1989
Nowhere Girl,B-Movie,Forever Running,1985
Living on the Ceiling,Blancmange,Happy Families,1982
Don't Tell Me,Blancmange,Mange Tout,1984
I Eat Cannibals,Toto Coelo,Man o' War,1982
Da Da Da,Trio,Trio,1982
Puttin' on the Ritz,Taco,After Eight,1982
Enola Gay,Orchestral Manoeuvres in the Dark,Organisation,1980
If You Leave,Orchestral Manoeuvres in the Dark,Pretty in Pink,1986
So in Love,Orchestral Manoeuvres in the Dark,Crush,1985
Electricity,Orchestral Manoeuvres in the Dark,Orchestral Manoeuvres in the Dark,1980
Tesla Girls,Orchestral Manoeuvres in the Dark,Junk Culture,1984
The Sun Always Shines on T.V.,a-ha,Hunting High and Low,1985
Take On Me,a-ha,Hunting High and Low,1985
The Killing Jar,Siouxsie and the Banshees,Peepshow,1988
Digging Your Scene,The Blow Monkeys,Animal Magic,1986
Chant No. 1 (I Don't Need This Pressure On),Spandau Ballet,Diamond,1982
To Cut a Long Story Short,Spandau Ballet,Journeys to Glory,1980
True,Spandau Ballet,True,1983
A Town Called Malice,The Jam,The Gift,1982
That's Entertainment,The Jam,Sound Affects,1980
Going Underground,The Jam,Going Underground,1980
Town Called Malice,The Jam,The Gift,1982
Shout to the Top!,The Style Council,Our Favourite Shop,1984
Walls Come Tumbling Down!,The Style Council,Our Favourite Shop,1985
Should I Stay or Should I Go,The Clash,Combat Rock,1982
Rock the Casbah,The Clash,Combat Rock,1982
Train in Vain,The Clash,London Calling,1979
Police on My Back,The Clash,Sandinista!,1980
This Is Radio Clash,The Clash,This Is Radio Clash,1981
Walking in L.A.,Missing Persons,Spring Session M,1982
Words,Missing Persons,Spring Session M,1982
Destination Unknown,Missing Persons,Spring Session M,1982
Mental Hopscotch,Missing Persons,Spring Session M,1982
Johnny Are You Queer?,Josie Cotton,Convertible Music,1982
He Could Be the One,Josie Cotton,Convertible Music,1982
Suspicious Minds,Fine Young Cannibals,Fine Young Cannibals,1985
Birds Fly (Whisper to a Scream),The Icicle Works,The Icicle Works,1984
Understanding Jane,The Icicle Works,If You Want to Defeat Your Enemy Sing His Song,1986
Dancing with Peter Pan's Shadow,Faith Brothers,Eventide,1985
Away,The Bolshoi,Friends,1986
Sunday Morning,The Bolshoi,Friends,1986
A Way,The Bolshoi,Friends,1986
Desire,Gene Loves Jezebel,Discover,1986
Motion of Love,Gene Loves Jezebel,The House of Dolls,1987
The Motion of Love,Gene Loves Jezebel,The House of Dolls,1987
World Shut Your Mouth,Julian Cope,Saint Julian,1987
Trampolene,Julian Cope,Saint Julian,1987
Charlotte Anne,Julian Cope,My Nation Underground,1988
The Great Commandment,Camouflage,Voices & Images,1987
Love Is a Shield,Camouflage,Methods of Silence,1989
That Smiling Face,Camouflage,Voices & Images,1988
The Promise You Made,Cock Robin,Cock Robin,1985
When Your Heart Is Weak,Cock Robin,Cock Robin,1985
More Than This,Roxy Music,Avalon,1982
Avalon,Roxy Music,Avalon,1982
Same Old Scene,Roxy Music,Flesh + Blood,1980
The Lebanon,The Human League,Hysteria,1984
Fascination,The Human League,Fascination!,1983
The Things That Dreams Are Made Of,The Human League,Dare,1981
Love Plus One,Haircut 100,Pelican West,1982
Favourite Shirts (Boy Meets Girl),Haircut 100,Pelican West,1981
When the Lights Go Out,Naked Eyes,Burning Bridges,1983
The Safety Dance,Men Without Hats,Rhythm of Youth,1982
Pop Goes the World,Men Without Hats,Pop Goes the World,1987
I Got You,Split Enz,True Colours,1980
One Step Ahead,Split Enz,Waiata,1981
History Never Repeats,Split Enz,Waiata,1981
Six Months in a Leaky Boat,Split Enz,Time and Tide,1982
Message to My Girl,Split Enz,Conflicting Emotions,1983
Don't Go Back to Rockville,R.E.M.,Reckoning,1984
Can't Get There from Here,R.E.M.,Fables of the Reconstruction,1985
Superman,R.E.M.,Lifes Rich Pageant,1986
Finest Worksong,R.E.M.,Document,1987
Pop Song 89,R.E.M.,Green,1988
Charlotte Sometimes,The Cure,Charlotte Sometimes,1981
Let's Go to Bed,The Cure,Japanese Whispers,1982
The Walk,The Cure,Japanese Whispers,1983
The Lovecats,The Cure,Japanese Whispers,1983
A Night Like This,The Cure,The Head on the Door,1985
Catch,The Cure,Kiss Me Kiss Me Kiss Me,1987
Hot Hot Hot!!!,The Cure,Kiss Me Kiss Me Kiss Me,1987
Shake the Disease,Depeche Mode,The Singles 81>85,1985
Master and Servant,Depeche Mode,Some Great Reward,1984
Blasphemous Rumours,Depeche Mode,Some Great Reward,1984
A Question of Time,Depeche Mode,Black Celebration,1986
Behind the Wheel,Depeche Mode,Music for the Masses,1987
Everything Counts,Depeche Mode,Construction Time Again,1983
Dreaming of Me,Depeche Mode,Speak & Spell,1981
New Life,Depeche Mode,Speak & Spell,1981
Shellshock,New Order,Substance,1987
Thieves Like Us,New Order,Substance,1987
The Perfect Kiss,New Order,Low-Life,1985
Sub-culture,New Order,Low-Life,1985
1963,New Order,Substance,1987
State of the Nation,New Order,Substance,1987
All in My Mind,Love and Rockets,Express,1986
Yin and Yang (The Flowerpot Man),Love and Rockets,Express,1986
Mirror People,Love and Rockets,Earth Sun Moon,1987
Kundalini Express,Love and Rockets,Express,1986
Telegram Sam,Bauhaus,In the Flat Field,1980
Kick in the Eye,Bauhaus,Mask,1981
The Passion of Lovers,Bauhaus,Mask,1981
Dark Entries,Bauhaus,In the Flat Field,1980
Indigo Eyes,Peter Murphy,Love Hysteria,1988
Strange Kind of Love,Peter Murphy,Deep,1989
Tower of Strength,The Mission,Children,1988
Wasteland,The Mission,God's Own Medicine,1986
Deliverance,The Mission,Carved in Sand,1989
Revolution,The Cult,Love,1985
Resurrection Joe,The Cult,Love,1985
Spiritwalker,The Cult,Dreamtime,1984
Edie (Ciao Baby),The Cult,Sonic Temple,1989
Christine,Siouxsie and the Banshees,Kaleidoscope,1980
Israel,Siouxsie and the Banshees,Israel,1980
Arabian Knights,Siouxsie and the Banshees,Juju,1981
Dazzle,Siouxsie and the Banshees,Hyæna,1984
Head Cut,Siouxsie and the Banshees,A Kiss in the Dreamhouse,1982
Headhunter,Front 242,Front by Front,1988
Welcome to Paradise,Front 242,Official Version,1987
Join in the Chant,Nitzer Ebb,That Total Age,1987
Control I'm Here,Nitzer Ebb,Belief,1989
Sensoria,Cabaret Voltaire,Micro-Phonies,1984
Just Fascination,Cabaret Voltaire,The Crackdown,1983
Every Day Is Halloween,Ministry,Twelve Inch Singles,1984
All Day,Ministry,Twitch,1986
Stigmata,Ministry,The Land of Rape and Honey,1988
Dig It,Skinny Puppy,Mind: The Perpetual Intercourse,1986
Assimilate,Skinny Puppy,Bites,1985
Godlike,KMFDM,Godlike,1989
The Model,Kraftwerk,The Man-Machine,1978
Numbers,Kraftwerk,Computer World,1981
Computer Love,Kraftwerk,Computer World,1981
Tour de France,Kraftwerk,Tour de France,1983
Nemesis,Shriekback,Oil & Gold,1985
My Spine Is the Bassline,Shriekback,Tench,1982
Lined Up,Shriekback,Care,1983
Swamp Thing,The Chameleons,Strange Times,1986
Up the Down Escalator,The Chameleons,Script of the Bridge,1983
Don't Fall,The Chameleons,Script of the Bridge,1983
Tears,The Chameleons,Strange Times,1986
April Skies,The Jesus and Mary Chain,Darklands,1987
Head On,The Jesus and Mary Chain,Automatic,1989
Just Like Honey,The Jesus and Mary Chain,Psychocandy,1985
Happy When It Rains,The Jesus and Mary Chain,Darklands,1987
The Hardest Walk,The Jesus and Mary Chain,Psychocandy,1985
Christine,The House of Love,The House of Love,1988
Shine On,The House of Love,The House of Love,1987
Destroy the Heart,The House of Love,The House of Love,1988
Sweet Jane,Cowboy Junkies,The Trinity Session,1988
A New England,Billy Bragg,Life's a Riot with Spy vs Spy,1983
Greetings to the New Brunette,Billy Bragg,Talking with the Taxman About Poetry,1986
Levi Stubbs' Tears,Billy Bragg,Talking with the Taxman About Poetry,1986
Ana Ng,They Might Be Giants,Lincoln,1988
Don't Let's Start,They Might Be Giants,They Might Be Giants,1986
Purple Toupee,They Might Be Giants,Lincoln,1988
Mayor of Simpleton,XTC,Oranges & Lemons,1989
Dear God,XTC,Skylarking,1986
Senses Working Overtime,XTC,English Settlement,1982
Generals and Majors,XTC,Black Sea,1980
Making Plans for Nigel,XTC,Drums and Wires,1979
The Mayor of Simpleton,XTC,Oranges & Lemons,1989
Crash,The Primitives,Lovely,1988
Way Behind Me,The Primitives,Pure,1989
Like the Weather,10,000 Maniacs,In My Tribe
What's the Matter Here?,10,000 Maniacs,In My Tribe
Trouble Me,10,000 Maniacs,Blind Man's Zoo
Between Something and Nothing,The Ocean Blue,The Ocean Blue,1989
Drifting Falling,The Ocean Blue,The Ocean Blue,1989
Everywhere I Go,The Call,Reconciled,1986
I Still Believe (Great Design),The Call,Reconciled,1986
The Walls Came Down,The Call,Modern Romans,1983
Strength,The Alarm,Strength,1985
Absolute Reality,The Alarm,Strength,1985
Rescue Me,The Alarm,Eye of the Hurricane,1987
All the Things She Said,Simple Minds,Once Upon a Time,1985
Someone Somewhere in Summertime,Simple Minds,New Gold Dream (81-82-83-84),1982
Promised You a Miracle,Simple Minds,New Gold Dream (81-82-83-84),1982
New Gold Dream (81-82-83-84),Simple Minds,New Gold Dream (81-82-83-84),1982
Love and Pride,King,Steps in Time,1984
The Politics of Dancing,Re-Flex,The Politics of Dancing,1983
Obsession,Animotion,Animotion,1984
In a Big Country,Big Country,The Crossing,1983
Fields of Fire,Big Country,The Crossing,1983
Look Away,Big Country,The Seer,1986
The Crossing,Big Country,The Crossing,1983
Cuts Like a Diamond,The Icicle Works,Blind,1988
