Title,Artist,Album,Year
The Mob Goes Wild,Clutch,Blast Tyrant,2004
Electric Worry,Clutch,From Beale Street to Oblivion,2007
A Shogun Named Marcus,Clutch,Transnational Speedway League,1993
Big News I,Clutch,Clutch,1995
The Regulator,Clutch,Blast Tyrant,2004
Earth Rocker,Clutch,Earth Rocker,2013
D.C. Sound Attack!,Clutch,Earth Rocker,2013
Snakes for the Divine,High on Fire,Snakes for the Divine,2010
Rumors of War,High on Fire,Death Is This Communion,2007
Frost Hammer,High on Fire,Snakes for the Divine,2010
Dragonaut,Sleep,Holy Mountain,1992
Some Grass,Sleep,Holy Mountain,1992
Holy Mountain,Sleep,Holy Mountain,1992
Dopesmoker,Sleep,Dopesmoker,1999
Sweet Leaf,Black Sabbath,Master of Reality,1971
Into the Void,Black Sabbath,Master of Reality,1971
Children of the Grave,Black Sabbath,Master of Reality,1971
Fairies Wear Boots,Black Sabbath,Paranoid,1970
War Pigs,Black Sabbath,Paranoid,1970
Paranoid,Black Sabbath,Paranoid,1970
N.I.B.,Black Sabbath,Black Sabbath,1970
The Wizard,Black Sabbath,Black Sabbath,1970
Iron Man,Black Sabbath,Paranoid,1970
Symptom of the Universe,Black Sabbath,Sabotage,1975
Ace of Spades,Motörhead,Ace of Spades,1980
Overkill,Motörhead,Overkill,1979
Killed by Death,Motörhead,No Remorse,1984
Born to Raise Hell,Motörhead,Bastards,1993
Breaking the Law,Judas Priest,British Steel,1980
You've Got Another Thing Comin',Judas Priest,Screaming for Vengeance,1982
Heading Out to the Highway,Judas Priest,Point of Entry,1981
Turbo Lover,Judas Priest,Turbo,1986
Radar Love,Golden Earring,Moontan,1973
Twilight Zone,Golden Earring,Cut,1982
Born to Be Wild,Steppenwolf,Steppenwolf,1968
Magic Carpet Ride,Steppenwolf,The Second,1968
The Pusher,Steppenwolf,Steppenwolf,1968
Roadhouse Blues,The Doors,Morrison Hotel,1970
Riders on the Storm,The Doors,L.A. Woman,1971
L.A. Woman,The Doors,L.A. Woman,1971
Love Her Madly,The Doors,L.A. Woman,1971
Peace Frog,The Doors,Morrison Hotel,1970
Break On Through,The Doors,The Doors,1967
Life in the Fast Lane,Eagles,Hotel California,1976
Already Gone,Eagles,On the Border,1974
One of These Nights,Eagles,One of These Nights,1975
Heartache Tonight,Eagles,The Long Run,1979
Hotel California,Eagles,Hotel California,1976
Take It Easy,Eagles,Eagles,1972
Runnin' Down a Dream,Tom Petty,Full Moon Fever,1989
Free Fallin',Tom Petty,Full Moon Fever,1989
I Won't Back Down,Tom Petty,Full Moon Fever,1989
You Got Lucky,Tom Petty and the Heartbreakers,Long After Dark,1982
Don't Come Around Here No More,Tom Petty and the Heartbreakers,Southern Accents,1985
Refugee,Tom Petty and the Heartbreakers,Damn the Torpedoes,1979
American Girl,Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,1976
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,Greatest Hits,1993
Breakdown,Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,1976
Back in Black,AC/DC,Back in Black,1980
Highway to Hell,AC/DC,Highway to Hell,1979
Shoot to Thrill,AC/DC,Back in Black,1980
Hells Bells,AC/DC,Back in Black,1980
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,1976
Riff Raff,AC/DC,Powerage,1978
Whole Lotta Rosie,AC/DC,Let There Be Rock,1977
Thunderstruck,AC/DC,The Razors Edge,1990
Ride On,AC/DC,Dirty Deeds Done Dirt Cheap,1976
Kickstart My Heart,Mötley Crüe,Dr. Feelgood,1989
Dr. Feelgood,Mötley Crüe,Dr. Feelgood,1989
Wild Side,Mötley Crüe,Girls Girls Girls,1987
Girls Girls Girls,Mötley Crüe,Girls Girls Girls,1987
Panama,Van Halen,1984,1984
Hot for Teacher,Van Halen,1984,1984
Unchained,Van Halen,Fair Warning,1981
Ain't Talkin' 'Bout Love,Van Halen,Van Halen,1978
Running with the Devil,Van Halen,Van Halen,1978
Beautiful Girls,Van Halen,Van Halen II,1979
Mean Street,Van Halen,Fair Warning,1981
Rock Candy,Montrose,Montrose,1973
Bad Motor Scooter,Montrose,Montrose,1973
Space Station #5,Montrose,Montrose,1973
Slow Ride,Foghat,Fool for the City,1975
Fool for the City,Foghat,Fool for the City,1975
Mississippi Queen,Mountain,Climbing!,1970
Never in My Life,Mountain,Climbing!,1970
Low Rider,War,Why Can't We Be Friends?,1975
The Cisco Kid,War,The World Is a Ghetto,1972
Why Can't We Be Friends?,War,Why Can't We Be Friends?,1975
Spill the Wine,Eric Burdon & War,Eric Burdon Declares "War",1970
All Right Now,Free,Fire and Water,1970
Bad Company,Bad Company,Bad Company,1974
Can't Get Enough,Bad Company,Bad Company,1974
Rock 'n' Roll Fantasy,Bad Company,Desolation Angels,1979
Feel Like Makin' Love,Bad Company,Straight Shooter,1975
Hair of the Dog,Nazareth,Hair of the Dog,1975
Love Hurts,Nazareth,Hair of the Dog,1975
Rock and Roll,Hoochie Koo,Rick Derringer,All American Boy,1973
Stranglehold,Ted Nugent,Ted Nugent,1975
Cat Scratch Fever,Ted Nugent,Cat Scratch Fever,1977
Free-for-All,Ted Nugent,Free-for-All,1976
Barracuda,Heart,Little Queen,1977
Magic Man,Heart,Dreamboat Annie,1975
Crazy on You,Heart,Dreamboat Annie,1975
Straight On,Heart,Dog & Butterfly,1978
Even It Up,Heart,Bébé le Strange,1980
American Woman,The Guess Who,American Woman,1970
No Sugar Tonight / New Mother Nature,The Guess Who,American Woman,1970
Long Cool Woman (In a Black Dress),The Hollies,Distant Light,1971
Green-Eyed Lady,Sugarloaf,Sugarloaf,1970
Frankenstein,The Edgar Winter Group,They Only Come Out at Night,1972
Free Ride,The Edgar Winter Group,They Only Come Out at Night,1972
Laid Back Country Picker,The Marcus King Band,Carolina Confessions,2018
The Well,The Marcus King Band,El Dorado,2020
Ain't Nothing Wrong with That,Robert Randolph & The Family Band,Colorblind,2006
Icky Thump,The White Stripes,Icky Thump,2007
Seven Nation Army,The White Stripes,Elephant,2003
Ball and Biscuit,The White Stripes,Elephant,2003
Blue Orchid,The White Stripes,Get Behind Me Satan,2005
Steady As She Goes,The Raconteurs,Broken Boy Soldiers,2006
Level,The Raconteurs,Broken Boy Soldiers,2006
Salute Your Solution,The Raconteurs,Consolers of the Lonely,2008
Cut Your Hair,Pavement,Crooked Rain Crooked Rain,1994
Summer Babe,Pavement,Slanted and Enchanted,1992
Possum Kingdom,Toadies,Rubberneck,1994
Away,Toadies,Rubberneck,1994
Tyler,Toadies,Rubberneck,1994
Unsung,Helmet,Meantime,1992
Milquetoast,Helmet,Betty,1994
In the Meantime,Helmet,Meantime,1992
Would?,Alice In Chains,Dirt,1992
Them Bones,Alice In Chains,Dirt,1992
Rooster,Alice In Chains,Dirt,1992
Man in the Box,Alice In Chains,Facelift,1990
No Excuses,Alice In Chains,Jar of Flies,1994
Again,Alice In Chains,Alice In Chains,1995
Heaven Beside You,Alice In Chains,Alice In Chains,1995
Rusty Cage,Soundgarden,Badmotorfinger,1991
Outshined,Soundgarden,Badmotorfinger,1991
Spoonman,Soundgarden,Superunknown,1994
Black Hole Sun,Soundgarden,Superunknown,1994
Fell on Black Days,Soundgarden,Superunknown,1994
Burden in My Hand,Soundgarden,Down on the Upside,1996
Pretty Noose,Soundgarden,Down on the Upside,1996
Interstate Love Song,Stone Temple Pilots,Purple,1994
Vasoline,Stone Temple Pilots,Purple,1994
Plush,Stone Temple Pilots,Core,1992
Sex Type Thing,Stone Temple Pilots,Core,1992
Big Empty,Stone Temple Pilots,Purple,1994
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,Tiny Music... Songs from the Vatican Gift Shop,1996
Wicked Garden,Stone Temple Pilots,Core,1992
Tomorrow,Silverchair,Frogstomp,1995
Israel's Son,Silverchair,Frogstomp,1995
Pure Massacre,Silverchair,Frogstomp,1995
Touch Peel and Stand,Days of the New,Days of the New,1997
Shelf in the Room,Days of the New,Days of the New,1997
Bound for the Floor,Local H,As Good as Dead,1996
Eddie Vedder,Local H,As Good as Dead,1996
Plowed,Sponge,Rotting Piñata,1994
Molly,Sponge,Rotting Piñata,1994
Far Behind,Candlebox,Candlebox,1993
You,Candlebox,Candlebox,1993
Cover Me,Candlebox,Candlebox,1993
Remedy,The Black Crowes,The Southern Harmony and Musical Companion,1992
Hard to Handle,The Black Crowes,Shake Your Money Maker,1990
Jealous Again,The Black Crowes,Shake Your Money Maker,1990
Twice As Hard,The Black Crowes,Shake Your Money Maker,1990
She Talks to Angels,The Black Crowes,Shake Your Money Maker,1990
Highway Tune,Greta Van Fleet,From the Fires,2017
Safari Song,Greta Van Fleet,From the Fires,2017
When the Curtain Falls,Greta Van Fleet,Anthem of the Peaceful Army,2018
Black Smoke Rising,Greta Van Fleet,From the Fires,2017
Sweet Mountain River,Monster Truck,Furiosity,2013
Don't Tell Me How to Live,Monster Truck,Furiosity,2013
The Lion,Monster Truck,Furiosity,2013
Powertrip,Monster Magnet,Powertrip,1998
Space Lord,Monster Magnet,Powertrip,1998
Negasonic Teenage Warhead,Monster Magnet,Dopes to Infinity,1995
Dopes to Infinity,Monster Magnet,Dopes to Infinity,1995
Twin Earth,Monster Magnet,Superjudge,1993
Medicine,Monster Magnet,Spine of God,1991
Sonic Reducer,Dead Boys,Young Loud and Snotty,1977
Search and Destroy,Iggy and The Stooges,Raw Power,1973
I Wanna Be Your Dog,The Stooges,The Stooges,1969
Down on the Street,The Stooges,Fun House,1970
TV Eye,The Stooges,Fun House,1970
Passenger,Iggy Pop,Lust for Life,1977
Lust for Life,Iggy Pop,Lust for Life,1977
Roadrunner,The Modern Lovers,The Modern Lovers,1976
Blister in the Sun,Violent Femmes,Violent Femmes,1983
Add It Up,Violent Femmes,Violent Femmes,1983
Kiss Off,Violent Femmes,Violent Femmes,1983
Los Angeles,X,Los Angeles,1980
The Hungry Wolf,X,Under the Big Black Sun,1982
Burning House of Love,X,Ain't Love Grand!,1985
White Girl,X,Wild Gift,1981
Johnny Hit and Run Paulene,X,Los Angeles,1980
Marie Marie,The Blasters,The Blasters,1981
American Music,The Blasters,The Blasters,1981
Dark Night,The Blasters,Non Fiction,1983
So Long Baby Goodbye,The Blasters,The Blasters,1981
Long White Cadillac,The Blasters,Non Fiction,1983
Ring of Fire,Social Distortion,Social Distortion,1990
Ball and Chain,Social Distortion,Social Distortion,1990
Story of My Life,Social Distortion,Social Distortion,1990
Bad Luck,Social Distortion,Somewhere Between Heaven and Hell,1992
When She Begins,Social Distortion,Somewhere Between Heaven and Hell,1992
I Was Wrong,Social Distortion,White Light White Heat White Trash,1996
California Sun,Ramones,Leave Home,1977
I Wanna Be Sedated,Ramones,Road to Ruin,1978
Rockaway Beach,Ramones,Rocket to Russia,1977
Should I Stay or Should I Go,The Clash,Combat Rock,1982
Rock the Casbah,The Clash,Combat Rock,1982
Police on My Back,The Clash,Sandinista!,1980
Train in Vain,The Clash,London Calling,1979
Clampdown,The Clash,London Calling,1979
London Calling,The Clash,London Calling,1979
Jailbreak,Thin Lizzy,Jailbreak,1976
The Boys Are Back in Town,Thin Lizzy,Jailbreak,1976
Cowboy Song,Thin Lizzy,Jailbreak,1976
Waiting for an Alibi,Thin Lizzy,Black Rose: A Rock Legend,1979
Emerald,Thin Lizzy,Jailbreak,1976
Whiskey in the Jar,Thin Lizzy,Vagabonds of the Western World,1973
Bad Reputation,Thin Lizzy,Bad Reputation,1977
Run to the Hills,Iron Maiden,The Number of the Beast,1982
The Trooper,Iron Maiden,Piece of Mind,1983
Flight of Icarus,Iron Maiden,Piece of Mind,1983
Can I Play with Madness,Iron Maiden,Seventh Son of a Seventh Son,1988
Wasted Years,Iron Maiden,Somewhere in Time,1986
Rainbow in the Dark,Dio,Holy Diver,1983
Holy Diver,Dio,Holy Diver,1983
The Last in Line,Dio,The Last in Line,1984
We Rock,Dio,The Last in Line,1984
Crazy Train,Ozzy Osbourne,Blizzard of Ozz,1980
Flying High Again,Ozzy Osbourne,Diary of a Madman,1981
Mr. Crowley,Ozzy Osbourne,Blizzard of Ozz,1980
Bark at the Moon,Ozzy Osbourne,Bark at the Moon,1983
Shot in the Dark,Ozzy Osbourne,The Ultimate Sin,1986
No More Tears,Ozzy Osbourne,No More Tears,1991
Mama I'm Coming Home,Ozzy Osbourne,No More Tears,1991
Round and Round,Ratt,Out of the Cellar,1984
Lay It Down,Ratt,Invasion of Your Privacy,1985
Wanted Man,Ratt,Out of the Cellar,1984
Back for More,Ratt,Out of the Cellar,1984
Rock You Like a Hurricane,Scorpions,Love at First Sting,1984
No One Like You,Scorpions,Blackout,1982
Big City Nights,Scorpions,Love at First Sting,1984
The Zoo,Scorpions,Animal Magnetism,1980
Still of the Night,Whitesnake,Whitesnake,1987
Here I Go Again,Whitesnake,Whitesnake,1987
Slide It In,Whitesnake,Slide It In,1984
Slow an' Easy,Whitesnake,Slide It In,1984
Hair of the Dog,Guns N' Roses,"The Spaghetti Incident?",1993
Welcome to the Jungle,Guns N' Roses,Appetite for Destruction,1987
Nightrain,Guns N' Roses,Appetite for Destruction,1987
Paradise City,Guns N' Roses,Appetite for Destruction,1987
Mr. Brownstone,Guns N' Roses,Appetite for Destruction,1987
Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,1987
You Could Be Mine,Guns N' Roses,Use Your Illusion II,1991
Bad Obsession,Guns N' Roses,Use Your Illusion I,1991
Roadhouse Blues,Blue Öyster Cult,Extraterrestrial Live,1982
Burnin' for You,Blue Öyster Cult,Fire of Unknown Origin,1981
Godzilla,Blue Öyster Cult,Spectres,1977
Don't Fear the Reaper,Blue Öyster Cult,Agents of Fortune,1976
Cities on Flame with Rock and Roll,Blue Öyster Cult,Blue Öyster Cult,1972
Spirit in the Sky,Norman Greenbaum,Spirit in the Sky,1969
Vehicle,The Ides of March,Vehicle,1970
Green Onions,Booker T. & the M.G.'s,Green Onions,1962
Misirlou,Dick Dale & His Del-Tones,Surfers' Choice,1962
Pipeline,The Chantays,Pipeline,1963
Rumble,Link Wray & His Ray Men,Rumble,1958
Sleepwalk,Santo & Johnny,Santo & Johnny,1959
Wicked Game,Chris Isaak,Heart Shaped World,1989
Baby Did a Bad Bad Thing,Chris Isaak,Forever Blue,1995
Dancin',Chris Isaak,Silvertone,1985
Blue Hotel,Chris Isaak,Chris Isaak,1986
Somebody's Crying,Chris Isaak,Forever Blue,1995
Big Log,Robert Plant,The Principle of Moments,1983
In the Mood,Robert Plant,The Principle of Moments,1983
Tall Cool One,Robert Plant,Now and Zen,1988
Burning Down One Side,Robert Plant,Pictures at Eleven,1982
Bad to the Bone,George Thorogood & The Destroyers,Bad to the Bone,1982
Move It On Over,George Thorogood & The Destroyers,George Thorogood and the Destroyers,1978
Who Do You Love?,George Thorogood & The Destroyers,Move It On Over,1978
I Drink Alone,George Thorogood & The Destroyers,Maverick,1985
Gear Jammer,George Thorogood & The Destroyers,Maverick,1985
Beer Drinkers & Hell Raisers,ZZ Top,Tres Hombres,1973
Heard It on the X,ZZ Top,Fandango!,1975
Jesus Just Left Chicago,ZZ Top,Tres Hombres,1973
Waitin' for the Bus,ZZ Top,Tres Hombres,1973
Just Got Paid,ZZ Top,Rio Grande Mud,1972
Drive,The Cars,Heartbeat City,1984
Just What I Needed,The Cars,The Cars,1978
Good Times Roll,The Cars,The Cars,1978
Let's Go,The Cars,Candy-O,1979
Moving in Stereo,The Cars,The Cars,1978
Danger Zone,Kenny Loggins,Top Gun,1986
Life Is a Highway,Tom Cochrane,Mad Mad World,1991
I Drove All Night,Roy Orbison,Mystery Girl,1989
Drive My Car,The Beatles,Rubber Soul,1965
No Particular Place to Go,Chuck Berry,St. Louis to Liverpool,1964
Route 66,The Rolling Stones,The Rolling Stones,1964
Start Me Up,The Rolling Stones,Tattoo You,1981
Brown Sugar,The Rolling Stones,Sticky Fingers,1971
Can't You Hear Me Knocking,The Rolling Stones,Sticky Fingers,1971
Gimme Shelter,The Rolling Stones,Let It Bleed,1969
Sympathy for the Devil,The Rolling Stones,Beggars Banquet,1968
Street Fighting Man,The Rolling Stones,Beggars Banquet,1968
Midnight Rambler,The Rolling Stones,Let It Bleed,1969
Call Me the Breeze,Lynyrd Skynyrd,Second Helping,1974
Saturday Night Special,Lynyrd Skynyrd,Nuthin' Fancy,1975
Gimme Three Steps,Lynyrd Skynyrd,Pronounced Leh-Nerd Skin-Nerd,1973
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,1974
Free Bird,Lynyrd Skynyrd,Pronounced Leh-Nerd Skin-Nerd,1973
Flirtin' with Disaster,Molly Hatchet,Flirtin' with Disaster,1979
Dreams I'll Never See,Molly Hatchet,Molly Hatchet,1978
Green Grass & High Tides,The Outlaws,The Outlaws,1975
Highway Song,Blackfoot,Strikes,1979
Train Train,Blackfoot,Strikes,1979
Violent & Funky,Infectious Grooves,Groove Family Cyco,1994
Therapy,Infectious Grooves,Sarsippius' Ark,1993
Punk It Up,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
You Lie... And Yo Breath Stank,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
Infectious Grooves,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
Stop Funk'n with My Head,Infectious Grooves,Groove Family Cyco,1994
Monster Skank,Infectious Grooves,Groove Family Cyco,1994
Do What I Tell Ya!,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
Cousin Randy,Infectious Grooves,Sarsippius' Ark,1993
Fame,Infectious Grooves,Groove Family Cyco,1994
My Name Is Mud,Primus,Pork Soda,1993
Jerry Was a Race Car Driver,Primus,Sailing the Seas of Cheese,1991
Tommy the Cat,Primus,Sailing the Seas of Cheese,1991
Too Many Puppies,Primus,Frizzle Fry,1990
Wynona's Big Brown Beaver,Primus,Tales from the Punchbowl,1995
John the Fisherman,Primus,Frizzle Fry,1990
Epic,Faith No More,The Real Thing,1989
Higher Ground,Red Hot Chili Peppers,Mother's Milk,1989
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
Mountain Song,Jane's Addiction,Nothing's Shocking,1988
