Title,Artist,Album,Year
Take a Chance on Me,ABBA,The Album,1977
Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,1983
Time After Time,Cyndi Lauper,She's So Unusual,1983
Like a Prayer,Madonna,Like a Prayer,1989
Material Girl,Madonna,Like a Virgin,1984
Vogue,Madonna,I'm Breathless,1990
...Baby One More Time,Britney Spears,...Baby One More Time,1998
(You Drive Me) Crazy,Britney Spears,...Baby One More Time,1999
Oops!...I Did It Again,Britney Spears,Oops!...I Did It Again,2000
Stronger,Britney Spears,Oops!...I Did It Again,2000
I'm a Slave 4 U,Britney Spears,Britney,2001
Toxic,Britney Spears,In the Zone,2003
Gimme More,Britney Spears,Blackout,2007
Womanizer,Britney Spears,Circus,2008
Genie in a Bottle,Christina Aguilera,Christina Aguilera,1999
What a Girl Wants,Christina Aguilera,Christina Aguilera,1999
Come On Over Baby (All I Want Is You),Christina Aguilera,Christina Aguilera,2000
Beautiful,Christina Aguilera,Stripped,2002
Dirrty,Christina Aguilera feat. Redman,Stripped,2002
Wannabe,Spice Girls,Spice,1996
Say You'll Be There,Spice Girls,Spice,1996
Spice Up Your Life,Spice Girls,Spiceworld,1997
I Want It That Way,Backstreet Boys,Millennium,1999
Everybody (Backstreet's Back),Backstreet Boys,Backstreet's Back,1997
Larger Than Life,Backstreet Boys,Millennium,1999
Bye Bye Bye,*NSYNC,No Strings Attached,2000
It's Gonna Be Me,*NSYNC,No Strings Attached,2000
Tearin' Up My Heart,*NSYNC,*NSYNC,1997
No Scrubs,TLC,FanMail,1999
Waterfalls,TLC,CrazySexyCool,1994
Creep,TLC,CrazySexyCool,1994
Say My Name,Destiny's Child,The Writing's on the Wall,1999
Bootylicious,Destiny's Child,Survivor,2001
Survivor,Destiny's Child,Survivor,2001
Hollaback Girl,Gwen Stefani,Love. Angel. Music. Baby.,2004
Rich Girl,Gwen Stefani feat. Eve,Love. Angel. Music. Baby.,2004
The Sweet Escape,Gwen Stefani feat. Akon,The Sweet Escape,2006
Don't Speak,No Doubt,Tragic Kingdom,1995
Just a Girl,No Doubt,Tragic Kingdom,1995
Hella Good,No Doubt,Rock Steady,2001
I'm Like a Bird,Nelly Furtado,Whoa Nelly!,2000
Promiscuous,Nelly Furtado feat. Timbaland,Loose,2006
Maneater,Nelly Furtado,Loose,2006
Big Girls Don't Cry,Fergie,The Dutchess,2006
Fergalicious,Fergie,The Dutchess,2006
Let's Get It Started,The Black Eyed Peas,Elephunk,2004
I Gotta Feeling,The Black Eyed Peas,The E.N.D.,2009
Where Is The Love?,The Black Eyed Peas,Elephunk,2003
Barbie Girl,Aqua,Aquarium,1997
Mambo No. 5 (A Little Bit Of...),Lou Bega,A Little Bit of Mambo,1999
MMMBop,Hanson,Middle of Nowhere,1997
Believe,Cher,Believe,1998
Man! I Feel Like a Woman!,Shania Twain,Come On Over,1997
That Don't Impress Me Much,Shania Twain,Come On Over,1997
I Wanna Dance with Somebody,Whitney Houston,Whitney,1987
How Will I Know,Whitney Houston,Whitney Houston,1985
I Will Always Love You,Whitney Houston,The Bodyguard,1992
Sweet Caroline,Neil Diamond,Brother Love's Travelling Salvation Show,1969
Celebration,Kool & The Gang,Celebrate!,1980
Get Down Tonight,KC & The Sunshine Band,KC & The Sunshine Band,1975
That's the Way (I Like It),KC & The Sunshine Band,KC & The Sunshine Band,1975
Y.M.C.A.,Village People,Cruisin',1978
It's Raining Men,The Weather Girls,Success,1982
Macarena,Los Del Rio,A Mi Me Gusta,1993
Electric Boogie,Marcia Griffiths,Carousel,1990
Cha Cha Slide,Mr. C The Slide Man,Cha-Cha Slide,2000
Cupid Shuffle,Cupid,Time for a Change,2007
Wobble,V.I.C.,Beast,2008
Watch Me (Whip / Nae Nae),Silentó,Watch Me,2015
Gangnam Style,PSY,"Psy 6 (Six Rules), Pt. 1",2012
The Git Up,Blanco Brown,Honeysuckle & Lightning Bugs,2019
Cotton Eye Joe,Rednex,"Sex & Violins",1994
Conga,Miami Sound Machine,Primitive Love,1985
Suavemente,Elvis Crespo,Suavemente,1998
Bailar,Deorro feat. Elvis Crespo,Good Evening,2016
La Vida Es Un Carnaval,Celia Cruz,Mi Vida Es Cantar,1998
Bamboleo,Gipsy Kings,Gipsy Kings,1987
La Bamba,Los Lobos,La Bamba,1987
Bidi Bidi Bom Bom,Selena,Amor Prohibido,1994
Como La Flor,Selena,Entre a Mi Mundo,1992
Dreaming of You,Selena,Dreaming of You,1995
"Whenever, Wherever",Shakira,Laundry Service,2001
Hips Don't Lie,Shakira feat. Wyclef Jean,"Oral Fixation, Vol. 2",2005
Waka Waka (This Time for Africa),Shakira,Sale el Sol,2010
TQG,KAROL G & Shakira,Mañana Será Bonito,2023
Provenza,KAROL G,Mañana Será Bonito,2022
Mamiii,Becky G & KAROL G,Esquemas,2022
Despacito,Luis Fonsi feat. Daddy Yankee,Vida,2017
Gasolina,Daddy Yankee,Barrio Fino,2004
Con Calma,Daddy Yankee feat. Snow,Con Calma,2019
Danza Kuduro,Don Omar feat. Lucenzo,Meet the Orphans,2010
Mi Gente,J Balvin & Willy William,Vibras,2017
I Like It,Cardi B feat. Bad Bunny and J Balvin,Invasion of Privacy,2018
Taki Taki,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Carte Blanche,2018
Calm Down,Rema & Selena Gomez,Rave & Roses,2022
Let's Get Loud,Jennifer Lopez,On the 6,1999
On The Floor,Jennifer Lopez feat. Pitbull,Love?,2011
Fireball,Pitbull feat. John Ryan,Globalization,2014
Timber,Pitbull feat. Kesha,Globalization,2013
Give Me Everything,"Pitbull, Ne-Yo, Afrojack & Nayer",Planet Pit,2011
Low,Flo Rida feat. T-Pain,Mail on Sunday,2007
Yeah!,Usher feat. Lil Jon and Ludacris,Confessions,2004
DJ Got Us Fallin' in Love,Usher feat. Pitbull,Raymond v. Raymond,2010
Uptown Funk,Mark Ronson feat. Bruno Mars,Uptown Special,2014
24K Magic,Bruno Mars,24K Magic,2016
Treasure,Bruno Mars,Unorthodox Jukebox,2012
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,2010
Levitating,Dua Lipa,Future Nostalgia,2020
Don't Start Now,Dua Lipa,Future Nostalgia,2019
Dance The Night,Dua Lipa,Barbie The Album,2023
Houdini,Dua Lipa,Radical Optimism,2023
Espresso,Sabrina Carpenter,Short n' Sweet,2024
Please Please Please,Sabrina Carpenter,Short n' Sweet,2024
Flowers,Miley Cyrus,Endless Summer Vacation,2023
Party in the U.S.A.,Miley Cyrus,The Time of Our Lives,2009
Anti-Hero,Taylor Swift,Midnights,2022
Shake It Off,Taylor Swift,1989,2014
Cruel Summer,Taylor Swift,Lover,2019
Love Story,Taylor Swift,Fearless,2008
Someone Like You,Adele,21,2011
Rolling in the Deep,Adele,21,2010
Easy On Me,Adele,30,2021
Halo,Beyoncé,I Am... Sasha Fierce,2008
Single Ladies (Put a Ring on It),Beyoncé,I Am... Sasha Fierce,2008
Crazy In Love,Beyoncé feat. Jay-Z,Dangerously in Love,2003
Love On Top,Beyoncé,4,2011
If I Ain't Got You,Alicia Keys,The Diary of Alicia Keys,2003
No One,Alicia Keys,As I Am,2007
Umbrella,Rihanna feat. Jay-Z,Good Girl Gone Bad,2007
We Found Love,Rihanna feat. Calvin Harris,Talk That Talk,2011
Only Girl (In the World),Rihanna,Loud,2010
Poker Face,Lady Gaga,The Fame,2008
Bad Romance,Lady Gaga,The Fame Monster,2009
Shallow,Lady Gaga and Bradley Cooper,A Star Is Born,2018
Firework,Katy Perry,Teenage Dream,2010
Teenage Dream,Katy Perry,Teenage Dream,2010
Roar,Katy Perry,Prism,2013
Since U Been Gone,Kelly Clarkson,Breakaway,2004
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger,2011
Raise Your Glass,P!nk,Greatest Hits... So Far!!!,2010
Just Give Me a Reason,P!nk feat. Nate Ruess,The Truth About Love,2012
Can't Stop the Feeling!,Justin Timberlake,Trolls,2016
Mirrors,Justin Timberlake,The 20/20 Experience,2013
Happy,Pharrell Williams,G I R L,2013
Get Lucky,Daft Punk feat. Pharrell Williams,Random Access Memories,2013
Blinding Lights,The Weeknd,After Hours,2019
Save Your Tears,The Weeknd,After Hours,2020
As It Was,Harry Styles,Harry's House,2022
Watermelon Sugar,Harry Styles,Fine Line,2019
Good 4 U,Olivia Rodrigo,SOUR,2021
Vampire,Olivia Rodrigo,GUTS,2023
Bad Guy,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2019
Birds of a Feather,Billie Eilish,Hit Me Hard and Soft,2024
Greedy,Tate McRae,Think Later,2023
Beautiful Things,Benson Boone,"Fireworks & Rollerblades",2024
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,2023
Hot to Go!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024
Call Me Maybe,Carly Rae Jepsen,Kiss,2012
All About That Bass,Meghan Trainor,Title,2014
Made You Look,Meghan Trainor,Takin' It Back,2022
Shape of You,Ed Sheeran,÷,2017
Perfect,Ed Sheeran,÷,2017
A Thousand Years,Christina Perri,The Twilight Saga: Breaking Dawn,2011
Let It Go,Idina Menzel,Frozen,2013
A Whole New World,Brad Kane and Lea Salonga,Aladdin,1992
How Far I'll Go,Auli'i Cravalho,Moana,2016
We Don't Talk About Bruno,Encanto Cast,Encanto,2021
Shut Up and Dance,WALK THE MOON,Talking Is Hard,2014
Murder on the Dancefloor,Sophie Ellis-Bextor,Read My Lips,2001
Walking on Sunshine,Katrina and the Waves,Katrina and the Waves,1985
De Música Ligera,Soda Stereo,Canción Animal,1990
Persiana Americana,Soda Stereo,Signos,1986
Cuando Pase el Temblor,Soda Stereo,Nada Personal,1985
Lamento Boliviano,Enanitos Verdes,Big Bang,1994
Mil Horas,Los Abuelos de la Nada,Vasos y Besos,1983
Costumbres Argentinas,Los Abuelos de la Nada,Himno de Mi Corazón,1984
Lunes Por La Madrugada,Los Abuelos de la Nada,Himno de Mi Corazón,1984
Tirá Para Arriba,Miguel Mateos / ZAS,Solos en América,1986
Obsesión,Miguel Mateos / ZAS,Solos en América,1986
Nos Siguen Pegando Abajo,Charly García,Clics Modernos,1983
No Voy en Tren,Charly García,Parte de la Religión,1987
Mariposa Tecknicolor,Fito Páez,Circo Beat,1994
Sólo Le Pido a Dios,León Gieco,IV LP,1978
Gracias a la Vida,Mercedes Sosa,Gracias a la Vida,1971
Olvídame y Pega la Vuelta,Pimpinela,Pimpinela,1982
True Colors,Cyndi Lauper,True Colors,1986
Like a Virgin,Madonna,Like a Virgin,1984
Into the Groove,Madonna,Like a Virgin,1985
La Isla Bonita,Madonna,True Blue,1986
Walk Like an Egyptian,The Bangles,Different Light,1986
Eternal Flame,The Bangles,Everything,1988
Heaven Is a Place on Earth,Belinda Carlisle,Heaven on Earth,1987
Toy Soldiers,Martika,Martika,1989
Lost in Your Eyes,Debbie Gibson,Electric Youth,1989
I Think We're Alone Now,Tiffany,Tiffany,1987
Straight Up,Paula Abdul,Forever Your Girl,1988
Forever Your Girl,Paula Abdul,Forever Your Girl,1988
Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine,Let It Loose,1987
Anything for You,Gloria Estefan and Miami Sound Machine,Let It Loose,1988
Dr. Beat,Miami Sound Machine,Eyes of Innocence,1984
Bailamos,Enrique Iglesias,Enrique,1999
Hero,Enrique Iglesias,Escape,2001
Livin' la Vida Loca,Ricky Martin,Ricky Martin,1999
María,Ricky Martin,A Medio Vivir,1995
Dream a Little Dream of Me,The Mamas & The Papas,The Papas & The Mamas,1968
These Arms of Mine,Otis Redding,Pain in My Heart,1964
Cupid,Sam Cooke,The Wonderful World of Sam Cooke,1961
Wonderful World,Sam Cooke,The Wonderful World of Sam Cooke,1960
Crazy,Patsy Cline,Showcase,1961
You Don't Have to Say You Love Me,Dusty Springfield,You Don't Have to Say You Love Me,1966
Son of a Preacher Man,Dusty Springfield,Dusty in Memphis,1968
Will You Love Me Tomorrow,The Shirelles,Tonight's the Night,1960
Then He Kissed Me,The Crystals,He's a Rebel,1963
Where Did Our Love Go,The Supremes,Where Did Our Love Go,1964
Limbo Rock,Chubby Checker,Limbo Party,1962
Macho Man,Village People,Macho Man,1978
Who Let the Dogs Out,Baha Men,Who Let the Dogs Out,2000
Love Shack,The B-52's,Cosmic Thing,1989
Come On Eileen,Dexys Midnight Runners,Too-Rye-Ay,1982
Strike It Up,Black Box,Dreamland,1990
Whoomp! (There It Is),Tag Team,Whoomp! (There It Is),1993
Baby Got Back,Sir Mix-a-Lot,Mack Daddy,1992
The Lion Sleeps Tonight,The Tokens,The Lion Sleeps Tonight,1961
