Title,Artist,Album,Year
Beat Bop,Rammellzee & K-Rob,Beat Bop,1983
Catch the Beat,T-Ski Valley,Catch the Beat,1981
Play That Beat Mr. DJ,G.L.O.B.E. & Whiz Kid,Play That Beat Mr. DJ,1983
Genius Rap,Dr. Jeckyll & Mr. Hyde,Genius Rap,1981
Fast Life,Dr. Jeckyll & Mr. Hyde,Fast Life,1984
Friends,Whodini,Escape,1984
Five Minutes of Funk,Whodini,Escape,1984
Freaks Come Out at Night,Whodini,Escape,1984
Big Mouth,Whodini,Escape,1984
Escape (I Need a Break),Whodini,Escape,1984
Magic's Wand,Whodini,Whodini,1982
Haunted House of Rock,Whodini,Whodini,1983
One Love,Whodini,Back in Black,1986
Funky Beat,Whodini,Back in Black,1986
I'm a Ho,Whistle,Whistle,1986
Nothing Serious (Just Buggin'),Whistle,Whistle,1986
Just Buggin',Whistle,Whistle,1986
Planet Rock,Afrika Bambaataa & The Soulsonic Force,Planet Rock,1982
Looking for the Perfect Beat,Afrika Bambaataa & The Soulsonic Force,Looking for the Perfect Beat,1983
Renegades of Funk,Afrika Bambaataa & The Soulsonic Force,Renegades of Funk,1984
Frantic Situation,Afrika Bambaataa & The Soulsonic Force,Beat Street,1984
Unity,Afrika Bambaataa & James Brown,Unity,1984
Jam On It,Newcleus,Jam On Revenge,1984
Computer Age (Push the Button),Newcleus,Jam On Revenge,1984
Jam On Revenge (The Wikki-Wikki Song),Newcleus,Jam On Revenge,1983
Al-Naafiysh (The Soul),Hashim,Al-Naafiysh,1983
Clear,Cybotron,Clear,1983
Play at Your Own Risk,Planet Patrol,Planet Patrol,1982
Cheap Thrills,Planet Patrol,Planet Patrol,1983
"Egypt, Egypt",The Egyptian Lover,On the Nile,1984
And My Beat Goes Boom,The Egyptian Lover,On the Nile,1984
Freak-A-Holic,The Egyptian Lover,On the Nile,1986
Girls,The Egyptian Lover,On the Nile,1984
Surgery,World Class Wreckin' Cru,World Class,1984
Juice,World Class Wreckin' Cru,World Class,1985
Turn Off the Lights,World Class Wreckin' Cru,Rapped in Romance,1986
Cabbage Patch,World Class Wreckin' Cru,Rapped in Romance,1987
It's Like That,Run-D.M.C.,Run-D.M.C.,1983
Sucker M.C.'s,Run-D.M.C.,Run-D.M.C.,1983
Hard Times,Run-D.M.C.,Run-D.M.C.,1984
Rock Box,Run-D.M.C.,Run-D.M.C.,1984
30 Days,Run-D.M.C.,Run-D.M.C.,1984
King of Rock,Run-D.M.C.,King of Rock,1985
Can You Rock It Like This,Run-D.M.C.,King of Rock,1985
You Talk Too Much,Run-D.M.C.,King of Rock,1985
Jam-Master Jammin',Run-D.M.C.,King of Rock,1985
My Adidas,Run-D.M.C.,Raising Hell,1986
Walk This Way,Run-D.M.C.,Raising Hell,1986
Peter Piper,Run-D.M.C.,Raising Hell,1986
It's Tricky,Run-D.M.C.,Raising Hell,1986
You Be Illin',Run-D.M.C.,Raising Hell,1986
Dumb Girl,Run-D.M.C.,Raising Hell,1986
Hit It Run,Run-D.M.C.,Raising Hell,1986
Beats to the Rhyme,Run-D.M.C.,Tougher Than Leather,1988
Run's House,Run-D.M.C.,Tougher Than Leather,1988
"Mary, Mary",Run-D.M.C.,Tougher Than Leather,1988
I'm Not Going Out Like That,Run-D.M.C.,Tougher Than Leather,1988
I Need a Beat,LL Cool J,Radio,1984
I Can't Live Without My Radio,LL Cool J,Radio,1985
Rock the Bells,LL Cool J,Radio,1985
You'll Rock,LL Cool J,Radio,1985
I Can Give You More,LL Cool J,Radio,1985
Dangerous,LL Cool J,Radio,1985
I'm Bad,LL Cool J,Bigger and Deffer,1987
I Need Love,LL Cool J,Bigger and Deffer,1987
Go Cut Creator Go,LL Cool J,Bigger and Deffer,1987
Bristol Hotel,LL Cool J,Bigger and Deffer,1987
Kanday,LL Cool J,Bigger and Deffer,1987
Going Back to Cali,LL Cool J,Less Than Zero,1987
Jack the Ripper,LL Cool J,Walking with a Panther,1988
I'm That Type of Guy,LL Cool J,Walking with a Panther,1989
Big Ole Butt,LL Cool J,Walking with a Panther,1989
Jingling Baby,LL Cool J,Walking with a Panther,1989
Jail House Rap,Fat Boys,Fat Boys,1984
Can You Feel It,Fat Boys,Fat Boys,1984
Stick 'Em,Fat Boys,Fat Boys,1984
The Fat Boys Are Back,Fat Boys,The Fat Boys Are Back,1985
All You Can Eat,Fat Boys,Krush Groove,1985
Hard Core Reggae,Fat Boys,Big & Beautiful,1986
Wipeout,Fat Boys & The Beach Boys,Crushin',1987
The Twist,Fat Boys & Chubby Checker,Coming Back Hard Again,1988
"Roxanne, Roxanne",UTFO,UTFO,1984
Bite It,UTFO,UTFO,1985
Leader of the Pack,UTFO,Leader of the Pack,1986
Roxanne's Revenge,Roxanne Shante,Roxanne's Revenge,1984
Bite This,Roxanne Shante,Roxanne's Revenge,1985
Have a Nice Day,Roxanne Shante,Bad Sister,1989
The Show,Doug E. Fresh & The Get Fresh Crew,"Oh, My God!",1985
La Di Da Di,Doug E. Fresh & Slick Rick,"Oh, My God!",1985
All the Way to Heaven,Doug E. Fresh & The Get Fresh Crew,"Oh, My God!",1986
Keep Risin' to the Top,Doug E. Fresh & The Get Fresh Crew,The World's Greatest Entertainer,1988
Children's Story,Slick Rick,The Great Adventures of Slick Rick,1988
Mona Lisa,Slick Rick,The Great Adventures of Slick Rick,1988
Hey Young World,Slick Rick,The Great Adventures of Slick Rick,1988
Teenage Love,Slick Rick,The Great Adventures of Slick Rick,1988
The Ruler's Back,Slick Rick,The Great Adventures of Slick Rick,1988
Lick the Balls,Slick Rick,The Great Adventures of Slick Rick,1988
"Make the Music With Your Mouth, Biz",Biz Markie,Goin' Off,1986
Nobody Beats the Biz,Biz Markie,Goin' Off,1988
Vapors,Biz Markie,Goin' Off,1988
Pickin' Boogers,Biz Markie,Goin' Off,1988
Biz Is Goin' Off,Biz Markie,Goin' Off,1988
This Is Something for the Radio,Biz Markie,Goin' Off,1988
Just a Friend,Biz Markie,The Biz Never Sleeps,1989
Spring Again,Biz Markie,The Biz Never Sleeps,1989
Things Get a Little Easier,Biz Markie,The Biz Never Sleeps,1989
Eric B. Is President,Eric B. & Rakim,Paid in Full,1986
My Melody,Eric B. & Rakim,Paid in Full,1986
I Ain't No Joke,Eric B. & Rakim,Paid in Full,1987
Paid in Full,Eric B. & Rakim,Paid in Full,1987
Move the Crowd,Eric B. & Rakim,Paid in Full,1987
I Know You Got Soul,Eric B. & Rakim,Paid in Full,1987
As the Rhyme Goes On,Eric B. & Rakim,Paid in Full,1987
Follow the Leader,Eric B. & Rakim,Follow the Leader,1988
Microphone Fiend,Eric B. & Rakim,Follow the Leader,1988
Lyrics of Fury,Eric B. & Rakim,Follow the Leader,1988
No Competition,Eric B. & Rakim,Follow the Leader,1988
The R,Eric B. & Rakim,Let the Rhythm Hit 'Em,1989
Raw,Big Daddy Kane,Long Live the Kane,1987
Set It Off,Big Daddy Kane,Long Live the Kane,1988
Ain't No Half-Steppin',Big Daddy Kane,Long Live the Kane,1988
Long Live the Kane,Big Daddy Kane,Long Live the Kane,1988
I'll Take You There,Big Daddy Kane,Long Live the Kane,1988
Smooth Operator,Big Daddy Kane,It's a Big Daddy Thing,1989
"Warm It Up, Kane",Big Daddy Kane,It's a Big Daddy Thing,1989
I Get the Job Done,Big Daddy Kane,It's a Big Daddy Thing,1989
Pimpin' Ain't Easy,Big Daddy Kane,It's a Big Daddy Thing,1989
Mortal Combat,Big Daddy Kane,It's a Big Daddy Thing,1989
Go See the Doctor,Kool Moe Dee,Kool Moe Dee,1986
How Ya Like Me Now,Kool Moe Dee,How Ya Like Me Now,1987
Wild Wild West,Kool Moe Dee,How Ya Like Me Now,1987
I'm a Player,Kool Moe Dee,How Ya Like Me Now,1987
I Go to Work,Kool Moe Dee,Knowledge Is King,1989
They Want Money,Kool Moe Dee,Knowledge Is King,1989
Public Enemy No. 1,Public Enemy,Yo! Bum Rush the Show,1987
You're Gonna Get Yours,Public Enemy,Yo! Bum Rush the Show,1987
Miuzi Weighs a Ton,Public Enemy,Yo! Bum Rush the Show,1987
Sophisticated Bitch,Public Enemy,Yo! Bum Rush the Show,1987
Rebel Without a Pause,Public Enemy,It Takes a Nation of Millions to Hold Us Back,1987
Bring the Noise,Public Enemy,It Takes a Nation of Millions to Hold Us Back,1988
Don't Believe the Hype,Public Enemy,It Takes a Nation of Millions to Hold Us Back,1988
Night of the Living Baseheads,Public Enemy,It Takes a Nation of Millions to Hold Us Back,1988
Black Steel in the Hour of Chaos,Public Enemy,It Takes a Nation of Millions to Hold Us Back,1988
Louder Than a Bomb,Public Enemy,It Takes a Nation of Millions to Hold Us Back,1988
She Watch Channel Zero?!,Public Enemy,It Takes a Nation of Millions to Hold Us Back,1988
Fight the Power,Public Enemy,Fear of a Black Planet,1989
Welcome to the Terrordome,Public Enemy,Fear of a Black Planet,1989
South Bronx,Boogie Down Productions,Criminal Minded,1986
The Bridge Is Over,Boogie Down Productions,Criminal Minded,1987
Criminal Minded,Boogie Down Productions,Criminal Minded,1987
Poetry,Boogie Down Productions,Criminal Minded,1987
9mm Goes Bang,Boogie Down Productions,Criminal Minded,1987
I'm Still #1,Boogie Down Productions,By All Means Necessary,1988
My Philosophy,Boogie Down Productions,By All Means Necessary,1988
Stop the Violence,Boogie Down Productions,By All Means Necessary,1988
Jack of Spades,Boogie Down Productions,By All Means Necessary,1988
You Must Learn,Boogie Down Productions,Ghetto Music: The Blueprint of Hip Hop,1989
Why Is That?,Boogie Down Productions,Ghetto Music: The Blueprint of Hip Hop,1989
It's My Thing,EPMD,Strictly Business,1987
You Gots to Chill,EPMD,Strictly Business,1988
Strictly Business,EPMD,Strictly Business,1988
I'm Housin',EPMD,Strictly Business,1988
The Steve Martin,EPMD,Strictly Business,1988
Let the Funk Flow,EPMD,Strictly Business,1988
So Wat Cha Sayin',EPMD,Unfinished Business,1989
Please Listen to My Demo,EPMD,Unfinished Business,1989
The Big Payback,EPMD,Unfinished Business,1989
Ego Trippin',Ultramagnetic MC's,Critical Beatdown,1986
Funky,Ultramagnetic MC's,Critical Beatdown,1987
Give the Drummer Some,Ultramagnetic MC's,Critical Beatdown,1988
Watch Me Now,Ultramagnetic MC's,Critical Beatdown,1988
Ease Back,Ultramagnetic MC's,Critical Beatdown,1988
Traveling at the Speed of Thought,Ultramagnetic MC's,Critical Beatdown,1988
Critical Beatdown,Ultramagnetic MC's,Critical Beatdown,1988
Jimbrowski,Jungle Brothers,Straight out the Jungle,1988
Straight Out the Jungle,Jungle Brothers,Straight out the Jungle,1988
I'll House You,Jungle Brothers,Straight out the Jungle,1988
Because I Got It Like That,Jungle Brothers,Straight out the Jungle,1988
Black Is Black,Jungle Brothers,Straight out the Jungle,1988
What 'U' Waitin' '4'?,Jungle Brothers,Done by the Forces of Nature,1989
Doin' Our Own Dang,Jungle Brothers,Done by the Forces of Nature,1989
Me Myself and I,De La Soul,3 Feet High and Rising,1989
Eye Know,De La Soul,3 Feet High and Rising,1989
Say No Go,De La Soul,3 Feet High and Rising,1989
Plug Tunin',De La Soul,3 Feet High and Rising,1989
Buddy,De La Soul,3 Feet High and Rising,1989
Potholes in My Lawn,De La Soul,3 Feet High and Rising,1989
The Magic Number,De La Soul,3 Feet High and Rising,1989
Jenifa Taught Me,De La Soul,3 Feet High and Rising,1989
The Gas Face,3rd Bass,The Cactus Album,1989
Steppin' to the A.M.,3rd Bass,The Cactus Album,1989
Brooklyn-Queens,3rd Bass,The Cactus Album,1989
Product of the Environment,3rd Bass,The Cactus Album,1989
Sons of 3rd Bass,3rd Bass,The Cactus Album,1989
The Show Stoppa,Salt-N-Pepa,"Hot, Cool & Vicious",1985
My Mic Sounds Nice,Salt-N-Pepa,"Hot, Cool & Vicious",1986
Tramp,Salt-N-Pepa,"Hot, Cool & Vicious",1986
Push It,Salt-N-Pepa,"Hot, Cool & Vicious",1987
Chick on the Side,Salt-N-Pepa,"Hot, Cool & Vicious",1987
Shake Your Thang,Salt-N-Pepa,A Salt with a Deadly Pepa,1988
Twist and Shout,Salt-N-Pepa,A Salt with a Deadly Pepa,1988
Get Up Everybody (Get Up),Salt-N-Pepa,A Salt with a Deadly Pepa,1988
Expression,Salt-N-Pepa,Blacks' Magic,1989
I Cram to Understand U,MC Lyte,Lyte as a Rock,1987
Paper Thin,MC Lyte,Lyte as a Rock,1988
Lyte as a Rock,MC Lyte,Lyte as a Rock,1988
10% Dis,MC Lyte,Lyte as a Rock,1988
Cha Cha Cha,MC Lyte,Eyes on This,1989
Cappucino,MC Lyte,Eyes on This,1989
"Stop, Look, Listen",MC Lyte,Eyes on This,1989
It's My Beat,Sweet Tee,It's Tee Time,1986
I Got Da Feelin',Sweet Tee,It's Tee Time,1988
On the Smooth Tip,Sweet Tee,It's Tee Time,1988
Wrath of My Madness,Queen Latifah,All Hail the Queen,1988
Ladies First,Queen Latifah,All Hail the Queen,1989
Princess of the Posse,Queen Latifah,All Hail the Queen,1989
Come Into My House,Queen Latifah,All Hail the Queen,1989
Dance for Me,Queen Latifah,All Hail the Queen,1989
I Can Do This,Monie Love,Down to Earth,1989
Monie in the Middle,Monie Love,Down to Earth,1989
Go Stetsa I,Stetsasonic,On Fire,1986
Faye,Stetsasonic,In Full Gear,1988
Sally,Stetsasonic,In Full Gear,1988
Talkin' All That Jazz,Stetsasonic,In Full Gear,1988
Float On,Stetsasonic,In Full Gear,1988
A.F.R.I.C.A.,Stetsasonic,In Full Gear,1988
Top Billin',Audio Two,What More Can I Say?,1987
I Don't Care,Audio Two,What More Can I Say?,1988
Hickeys Around My Neck,Audio Two,What More Can I Say?,1988
The Bridge,MC Shan,Down by Law,1986
Kill That Noise,MC Shan,Down by Law,1987
Left Me Lonely,MC Shan,Born to Be Wild,1988
Ain't It Good to You,MC Shan,Born to Be Wild,1988
The Symphony,Marley Marl,"In Control, Volume 1",1988
Droppin' Science,Craig G,"In Control, Volume 1",1988
The Rebel,Tragedy,"In Control, Volume 1",1988
Live Motivator,Masters of Ceremony,Dynamite,1988
I'm the Magnificent,Special Ed,Youngest in Charge,1989
I Got It Made,Special Ed,Youngest in Charge,1989
Think About It,Special Ed,Youngest in Charge,1989
Taxing,Special Ed,Youngest in Charge,1989
Fresh Is the Word,Mantronix,The Album,1985
Bassline,Mantronix,The Album,1985
Needle to the Groove,Mantronix,The Album,1985
Ladies,Mantronix,Music Madness,1986
Who Is It?,Mantronix,Music Madness,1986
Scream,Mantronix,In Full Effect,1988
King of the Beats,Mantronix,This Should Move Ya,1988
Got to Have Your Love,Mantronix,This Should Move Ya,1989
Just Give the DJ a Break,Dynamix II,Just Give the DJ a Break,1987
Give the DJ a Break,Dynamix II,Electro Megamix,1987
Fix It in the Mix,Pretty Tony,Fix It in the Mix,1984
When I Hear Music,Debbie Deb,When I Hear Music,1983
Lookout Weekend,Debbie Deb,Lookout Weekend,1984
Funky Little Beat,Connie,Funky Little Beat,1985
Don't Stop the Rock,Freestyle,Don't Stop the Rock,1985
All Night,Trinere,Trinere,1985
I'll Be All You Ever Need,Trinere,Trinere,1986
Let the Music Play,Shannon,Let the Music Play,1983
Give Me Tonight,Shannon,Let the Music Play,1984
Point of No Return,Exposé,Exposure,1985
Egyptian Lover Theme,The Egyptian Lover,On the Nile,1984
Boyz-n-the-Hood,Eazy-E,N.W.A. and the Posse,1987
8 Ball,N.W.A.,N.W.A. and the Posse,1987
Dopeman,N.W.A.,Straight Outta Compton,1987
Straight Outta Compton,N.W.A.,Straight Outta Compton,1988
Gangsta Gangsta,N.W.A.,Straight Outta Compton,1988
Express Yourself,N.W.A.,Straight Outta Compton,1988
Fuck tha Police,N.W.A.,Straight Outta Compton,1988
Parental Discretion Iz Advised,N.W.A.,Straight Outta Compton,1988
Eazy-Duz-It,Eazy-E,Eazy-Duz-It,1988
We Want Eazy,Eazy-E,Eazy-Duz-It,1988
Eazy-Er Said Than Dunn,Eazy-E,Eazy-Duz-It,1988
Radio,Eazy-E,Eazy-Duz-It,1988
It's Funky Enough,The D.O.C.,No One Can Do It Better,1989
The D.O.C. & The Doctor,The D.O.C.,No One Can Do It Better,1989
Mind Blowin',The D.O.C.,No One Can Do It Better,1989
The Formula,The D.O.C.,No One Can Do It Better,1989
I'm Your Pusher,Ice-T,Power,1988
Colors,Ice-T,Colors,1988
6 'N the Mornin',Ice-T,Rhyme Pays,1987
High Rollers,Ice-T,Power,1988
Power,Ice-T,Power,1988
I'm Your Pusher/Pusherman,Ice-T,Power,1988
The Tower,Ice-T,The Iceberg/Freedom of Speech... Just Watch What You Say!,1989
Lethal Weapon,Ice-T,The Iceberg/Freedom of Speech... Just Watch What You Say!,1989
Freaky Tales,Too Short,Born to Mack,1987
Dope Fiend Beat,Too Short,Born to Mack,1987
Life Is...Too Short,Too Short,Life Is...Too Short,1988
CussWords,Too Short,Life Is...Too Short,1988
City of Dope,Too Short,Life Is...Too Short,1988
Posse on Broadway,Sir Mix-A-Lot,Swass,1988
Square Dance Rap,Sir Mix-A-Lot,Swass,1986
Buttermilk Biscuits,Sir Mix-A-Lot,Swass,1988
My Hooptie,Sir Mix-A-Lot,Seminar,1989
Beepers,Sir Mix-A-Lot,Seminar,1989
Rippn',Sir Mix-A-Lot,Seminar,1989
Payback Is a Mutha,King Tee,Act a Fool,1988
Act a Fool,King Tee,Act a Fool,1988
Bass,King Tee,Act a Fool,1988
I Got It Bad Y'all,Rodney O & Joe Cooley,Me & Joe,1988
Everlasting Bass,Rodney O & Joe Cooley,Me & Joe,1988
Cooley High,Rodney O & Joe Cooley,Me & Joe,1988
Batterram,Toddy Tee,Batterram,1985
The Batterram,Toddy Tee,Batterram,1985
The Godfather,Spoonie Gee,The Godfather,1987
"Hold It Now, Hit It",Beastie Boys,Licensed to Ill,1986
Paul Revere,Beastie Boys,Licensed to Ill,1986
Brass Monkey,Beastie Boys,Licensed to Ill,1986
No Sleep Till Brooklyn,Beastie Boys,Licensed to Ill,1986
Fight for Your Right,Beastie Boys,Licensed to Ill,1986
The New Style,Beastie Boys,Licensed to Ill,1986
She's Crafty,Beastie Boys,Licensed to Ill,1986
Girls,Beastie Boys,Licensed to Ill,1986
Shake Your Rump,Beastie Boys,Paul's Boutique,1989
Hey Ladies,Beastie Boys,Paul's Boutique,1989
Shadrach,Beastie Boys,Paul's Boutique,1989
Egg Man,Beastie Boys,Paul's Boutique,1989
High Plains Drifter,Beastie Boys,Paul's Boutique,1989
It Takes Two,Rob Base & DJ EZ Rock,It Takes Two,1988
Joy and Pain,Rob Base & DJ EZ Rock,It Takes Two,1988
Get on the Dance Floor,Rob Base & DJ EZ Rock,It Takes Two,1988
Keep It Going Now,Rob Base & DJ EZ Rock,It Takes Two,1988
Bust a Move,Young MC,Stone Cold Rhymin',1989
Principal's Office,Young MC,Stone Cold Rhymin',1989
Know How,Young MC,Stone Cold Rhymin',1988
I Let 'Em Know,Young MC,Stone Cold Rhymin',1989
Got More Rhymes,Young MC,Stone Cold Rhymin',1989
Parents Just Don't Understand,DJ Jazzy Jeff & The Fresh Prince,"He's the DJ, I'm the Rapper",1988
Brand New Funk,DJ Jazzy Jeff & The Fresh Prince,"He's the DJ, I'm the Rapper",1988
A Nightmare on My Street,DJ Jazzy Jeff & The Fresh Prince,"He's the DJ, I'm the Rapper",1988
Girls Ain't Nothing But Trouble,DJ Jazzy Jeff & The Fresh Prince,"He's the DJ, I'm the Rapper",1988
As We Go,DJ Jazzy Jeff & The Fresh Prince,"He's the DJ, I'm the Rapper",1988
I Think I Can Beat Mike Tyson,DJ Jazzy Jeff & The Fresh Prince,And in This Corner...,1989
Supersonic,J.J. Fad,Supersonic,1988
Way Out,J.J. Fad,Supersonic,1988
Cars with the Boom,L'Trimm,Grab It!,1988
Grab It,L'Trimm,Grab It!,1988
Sally (That Girl),Gucci Crew II,"So Def, So Fresh, So Stupid",1987
Cabbage Patch,Gucci Crew II,"So Def, So Fresh, So Stupid",1987
The Dating Game,Gucci Crew II,Everybody Wants Some,1988
Throw the D,2 Live Crew,The 2 Live Crew Is What We Are,1986
We Want Some Pussy,2 Live Crew,The 2 Live Crew Is What We Are,1986
Get It Girl,2 Live Crew,The 2 Live Crew Is What We Are,1986
Move Somethin',2 Live Crew,Move Somethin',1988
Do Wah Diddy,2 Live Crew,Move Somethin',1988
Me So Horny,2 Live Crew,As Nasty as They Wanna Be,1989
C'mon Babe,2 Live Crew,As Nasty as They Wanna Be,1989
The Funky Headhunter,MC Shy D,Comin' Correct in '88,1988
I've Gotta Be Tough,MC Shy D,Comin' Correct in '88,1988
Rapp Will Never Die,MC Shy D,Got to Be Tough,1987
Turn This Mutha Out,MC Hammer,Let's Get It Started,1988
Pump It Up,MC Hammer,Let's Get It Started,1988
Let's Get It Started,MC Hammer,Let's Get It Started,1988
Ring 'Em,MC Hammer,Let's Get It Started,1988
Doowutchyalike,Digital Underground,Doowutchyalike,1989
Do It Like a G.O.,Geto Boys,Grip It! On That Other Level,1989
Mind of a Lunatic,Geto Boys,Grip It! On That Other Level,1989
Size Ain't Shit,Geto Boys,Grip It! On That Other Level,1989
Wild Thing,Tone Loc,Loc-ed After Dark,1988
Funky Cold Medina,Tone Loc,Loc-ed After Dark,1989
I Got It Goin' On,Tone Loc,Loc-ed After Dark,1989
On Fire,Tone Loc,Loc-ed After Dark,1989
Cheeba Cheeba,Tone Loc,Loc-ed After Dark,1989
Rollin' with Kid 'n Play,Kid 'n Play,2 Hype,1988
Gittin' Funky,Kid 'n Play,2 Hype,1988
2 Hype,Kid 'n Play,2 Hype,1988
Do This My Way,Kid 'n Play,2 Hype,1988
Funhouse,Kid 'n Play,2 Hype,1988
Buffalo Stance,Neneh Cherry,Raw Like Sushi,1988
Kisses on the Wind,Neneh Cherry,Raw Like Sushi,1989
I Want Her,Keith Sweat,Make It Last Forever,1987
Make It Last Forever,Keith Sweat,Make It Last Forever,1987
Something Just Ain't Right,Keith Sweat,Make It Last Forever,1988
Don't Stop Your Love,Keith Sweat,Make It Last Forever,1987
My Prerogative,Bobby Brown,Don't Be Cruel,1988
Don't Be Cruel,Bobby Brown,Don't Be Cruel,1988
Every Little Step,Bobby Brown,Don't Be Cruel,1988
Roni,Bobby Brown,Don't Be Cruel,1988
Rock Wit'cha,Bobby Brown,Don't Be Cruel,1988
On Our Own,Bobby Brown,Ghostbusters II,1989
Mamacita,Troop,Troop,1988
Spread My Wings,Troop,Attitude,1989
All I Do Is Think of You,Troop,Attitude,1989
My Heart,Troop,Troop,1988
Groove Me,Guy,Guy,1988
Teddy's Jam,Guy,Guy,1988
I Like,Guy,Guy,1988
Spend the Night,Guy,Guy,1988
If It Isn't Love,New Edition,Heart Break,1988
Can You Stand the Rain,New Edition,Heart Break,1988
You're Not My Kind of Girl,New Edition,Heart Break,1988
Mercedes Boy,Pebbles,Pebbles,1987
Girlfriend,Pebbles,Pebbles,1987
Wishing Well,Terence Trent D'Arby,Introducing the Hardline According to Terence Trent D'Arby,1987
Sign Your Name,Terence Trent D'Arby,Introducing the Hardline According to Terence Trent D'Arby,1987
Dance Little Sister,Terence Trent D'Arby,Introducing the Hardline According to Terence Trent D'Arby,1987
If You Let Me Stay,Terence Trent D'Arby,Introducing the Hardline According to Terence Trent D'Arby,1987
