Title,Artist,Album,Year
Foreclosure of a Dream,Megadeth,Countdown to Extinction,1992
Skin o' My Teeth,Megadeth,Countdown to Extinction,1992
Caught in a Mosh,Anthrax,Among the Living,1987
Among the Living,Anthrax,Among the Living,1987
I Am the Law,Anthrax,Among the Living,1987
Indians,Anthrax,Among the Living,1987
Madhouse,Anthrax,Spreading the Disease,1985
A.I.R.,Anthrax,Spreading the Disease,1985
Medusa,Anthrax,Spreading the Disease,1985
Antisocial,Anthrax,State of Euphoria,1988
Be All End All,Anthrax,State of Euphoria,1988
Got the Time,Anthrax,Persistence of Time,1990
Keep It in the Family,Anthrax,Persistence of Time,1990
Bring the Noise,Anthrax,Attack of the Killer B's,1991
Raining Blood,Slayer,Reign in Blood,1986
Angel of Death,Slayer,Reign in Blood,1986
Postmortem,Slayer,Reign in Blood,1986
South of Heaven,Slayer,South of Heaven,1988
Mandatory Suicide,Slayer,South of Heaven,1988
War Ensemble,Slayer,Seasons in the Abyss,1990
Seasons in the Abyss,Slayer,Seasons in the Abyss,1990
Dead Skin Mask,Slayer,Seasons in the Abyss,1990
Over the Wall,Testament,The Legacy,1987
The New Order,Testament,The New Order,1988
Into the Pit,Testament,The New Order,1988
Trial by Fire,Testament,The New Order,1988
Practice What You Preach,Testament,Practice What You Preach,1989
Souls of Black,Testament,Souls of Black,1990
Electric Crown,Testament,The Ritual,1992
Bonded by Blood,Exodus,Bonded by Blood,1985
A Lesson in Violence,Exodus,Bonded by Blood,1985
Strike of the Beast,Exodus,Bonded by Blood,1985
The Toxic Waltz,Exodus,Fabulous Disaster,1989
Blacklist,Exodus,Tempo of the Damned,2004
Metal Church,Metal Church,Metal Church,1984
Beyond the Black,Metal Church,Metal Church,1984
Gods of Wrath,Metal Church,Metal Church,1984
Watch the Children Pray,Metal Church,The Dark,1986
Battle Angels,Sanctuary,Refuge Denied,1988
Future Tense,Sanctuary,Into the Mirror Black,1990
March of the Saint,Armored Saint,March of the Saint,1984
Can U Deliver,Armored Saint,March of the Saint,1984
Reign of Fire,Armored Saint,Symbol of Salvation,1991
Chemical Wedding,Bruce Dickinson,The Chemical Wedding,1998
Tears of the Dragon,Bruce Dickinson,Balls to Picasso,1994
Breaking the Law,Judas Priest,British Steel,1980
Living After Midnight,Judas Priest,British Steel,1980
Metal Gods,Judas Priest,British Steel,1980
Heading Out to the Highway,Judas Priest,Point of Entry,1981
The Hellion,Judas Priest,Screaming for Vengeance,1982
Electric Eye,Judas Priest,Screaming for Vengeance,1982
You've Got Another Thing Comin',Judas Priest,Screaming for Vengeance,1982
Screaming for Vengeance,Judas Priest,Screaming for Vengeance,1982
Freewheel Burning,Judas Priest,Defenders of the Faith,1984
Some Heads Are Gonna Roll,Judas Priest,Defenders of the Faith,1984
Turbo Lover,Judas Priest,Turbo,1986
Painkiller,Judas Priest,Painkiller,1990
Neon Knights,Black Sabbath,Heaven and Hell,1980
Heaven and Hell,Black Sabbath,Heaven and Hell,1980
Die Young,Black Sabbath,Heaven and Hell,1980
The Mob Rules,Black Sabbath,Mob Rules,1981
Voodoo,Black Sabbath,Mob Rules,1981
Turn Up the Night,Black Sabbath,Mob Rules,1981
Holy Diver,Dio,Holy Diver,1983
Stand Up and Shout,Dio,Holy Diver,1983
Rainbow in the Dark,Dio,Holy Diver,1983
Straight Through the Heart,Dio,Holy Diver,1983
We Rock,Dio,The Last in Line,1984
The Last in Line,Dio,The Last in Line,1984
Mystery,Dio,The Last in Line,1984
Rock 'n' Roll Children,Dio,Sacred Heart,1985
Dream Evil,Dio,Dream Evil,1987
Crazy Train,Ozzy Osbourne,Blizzard of Ozz,1980
I Don't Know,Ozzy Osbourne,Blizzard of Ozz,1980
Mr. Crowley,Ozzy Osbourne,Blizzard of Ozz,1980
Suicide Solution,Ozzy Osbourne,Blizzard of Ozz,1980
Flying High Again,Ozzy Osbourne,Diary of a Madman,1981
Over the Mountain,Ozzy Osbourne,Diary of a Madman,1981
Diary of a Madman,Ozzy Osbourne,Diary of a Madman,1981
Bark at the Moon,Ozzy Osbourne,Bark at the Moon,1983
Shot in the Dark,Ozzy Osbourne,The Ultimate Sin,1986
Miracle Man,Ozzy Osbourne,No Rest for the Wicked,1988
No More Tears,Ozzy Osbourne,No More Tears,1991
Mama I'm Coming Home,Ozzy Osbourne,No More Tears,1991
Ace of Spades,Motörhead,Ace of Spades,1980
Overkill,Motörhead,Overkill,1979
Bomber,Motörhead,Bomber,1979
Iron Fist,Motörhead,Iron Fist,1982
Killed by Death,Motörhead,No Remorse,1984
Orgasmatron,Motörhead,Orgasmatron,1986
Love Me Like a Reptile,Motörhead,Ace of Spades,1980
Fast as a Shark,Accept,Restless and Wild,1982
Balls to the Wall,Accept,Balls to the Wall,1983
London Leatherboys,Accept,Balls to the Wall,1983
Metal Heart,Accept,Metal Heart,1985
Princess of the Dawn,Accept,Restless and Wild,1982
Queen of the Reich,Queensrÿche,Queensrÿche,1983
The Warning,Queensrÿche,The Warning,1984
Take Hold of the Flame,Queensrÿche,The Warning,1984
Walk in the Shadows,Queensrÿche,Rage for Order,1986
I Dream in Infrared,Queensrÿche,Rage for Order,1986
I Don't Believe in Love,Queensrÿche,Operation: Mindcrime,1988
Eyes of a Stranger,Queensrÿche,Operation: Mindcrime,1988
Revolution Calling,Queensrÿche,Operation: Mindcrime,1988
Breaking the Silence,Queensrÿche,Operation: Mindcrime,1988
Jet City Woman,Queensrÿche,Empire,1990
Silent Lucidity,Queensrÿche,Empire,1990
Welcome Home,King Diamond,Them,1988
Abigail,King Diamond,Abigail,1987
Halloween,King Diamond,Fatal Portrait,1986
A Dangerous Meeting,Mercyful Fate,Don't Break the Oath,1984
Evil,Mercyful Fate,Melissa,1983
Curse of the Pharaohs,Mercyful Fate,Melissa,1983
Savatage,Savatage,Hall of the Mountain King,1987
Hall of the Mountain King,Savatage,Hall of the Mountain King,1987
24 Hrs. Ago,Savatage,Hall of the Mountain King,1987
Gutter Ballet,Savatage,Gutter Ballet,1989
Edge of Thorns,Savatage,Edge of Thorns,1993
Wild Child,W.A.S.P.,The Last Command,1985
I Wanna Be Somebody,W.A.S.P.,W.A.S.P.,1984
L.O.V.E. Machine,W.A.S.P.,W.A.S.P.,1984
Blind in Texas,W.A.S.P.,The Last Command,1985
Mean Man,W.A.S.P.,The Headless Children,1989
Headless Cross,Black Sabbath,Headless Cross,1989
Animal (Fuck Like a Beast),W.A.S.P.,Animal,1984
Mother,Danzig,Danzig,1988
Twist of Cain,Danzig,Danzig,1988
She Rides,Danzig,Danzig,1988
Long Way Back from Hell,Danzig,Danzig II: Lucifuge,1990
Her Black Wings,Danzig,Danzig II: Lucifuge,1990
Blood and Tears,Danzig,Danzig II: Lucifuge,1990
Where Eagles Dare,Misfits,Legacy of Brutality,1985
Last Caress,Misfits,Static Age,1996
Halloween,Misfits,Collection,1986
Skulls,Misfits,Walk Among Us,1982
Astro Zombies,Misfits,Walk Among Us,1982
Green Hell,Misfits,Earth A.D.,1983
Institutionalized,Suicidal Tendencies,Suicidal Tendencies,1983
Possessed to Skate,Suicidal Tendencies,Join the Army,1987
Trip at the Brain,Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today,1988
How Will I Laugh Tomorrow,Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today,1988
You Can't Bring Me Down,Suicidal Tendencies,Lights...Camera...Revolution!,1990
Lights...Camera...Revolution!,Suicidal Tendencies,Lights...Camera...Revolution!,1990
Surf Nicaragua,Sacred Reich,Surf Nicaragua,1988
The American Way,Sacred Reich,The American Way,1990
Ignorance,Sacred Reich,Ignorance,1987
Hello from the Gutter,Overkill,Under the Influence,1988
Elimination,Overkill,The Years of Decay,1989
Rotten to the Core,Overkill,Feel the Fire,1985
Time to Kill,Overkill,The Years of Decay,1989
Metal Health (Bang Your Head),Quiet Riot,Metal Health,1983
Cum on Feel the Noize,Quiet Riot,Metal Health,1983
Slick Black Cadillac,Quiet Riot,Metal Health,1983
Round and Round,Ratt,Out of the Cellar,1984
Lay It Down,Ratt,Invasion of Your Privacy,1985
Wild Child,Ratt,Invasion of Your Privacy,1985
Tooth and Nail,Dokken,Tooth and Nail,1984
Into the Fire,Dokken,Tooth and Nail,1984
Dream Warriors,Dokken,Back for the Attack,1987
Kiss of Death,Dokken,Back for the Attack,1987
Youth Gone Wild,Skid Row,Skid Row,1989
18 and Life,Skid Row,Skid Row,1989
Monkey Business,Skid Row,Slave to the Grind,1991
Slave to the Grind,Skid Row,Slave to the Grind,1991
Midnight/Tornado,Skid Row,Skid Row,1989
Welcome to the Jungle,Guns N' Roses,Appetite for Destruction,1987
It's So Easy,Guns N' Roses,Appetite for Destruction,1987
Mr. Brownstone,Guns N' Roses,Appetite for Destruction,1987
Nightrain,Guns N' Roses,Appetite for Destruction,1987
You Could Be Mine,Guns N' Roses,Use Your Illusion II,1991
Paradise City,Guns N' Roses,Appetite for Destruction,1987
Live Wire,Mötley Crüe,Too Fast for Love,1981
Looks That Kill,Mötley Crüe,Shout at the Devil,1983
Shout at the Devil,Mötley Crüe,Shout at the Devil,1983
Too Young to Fall in Love,Mötley Crüe,Shout at the Devil,1983
Wild Side,Mötley Crüe,Girls Girls Girls,1987
Kickstart My Heart,Mötley Crüe,Dr. Feelgood,1989
Dr. Feelgood,Mötley Crüe,Dr. Feelgood,1989
Rock You Like a Hurricane,Scorpions,Love at First Sting,1984
Big City Nights,Scorpions,Love at First Sting,1984
Blackout,Scorpions,Blackout,1982
No One Like You,Scorpions,Blackout,1982
The Zoo,Scorpions,Animal Magnetism,1980
Still Loving You,Scorpions,Love at First Sting,1984
Rainbow in the Dark,Dio,Holy Diver,1983
