Title,Artist,Album,Year
Turn Me On,Kevin Lyttle,Kevin Lyttle,2003
Get Busy,Sean Paul,Dutty Rock,2002
Gimme the Light,Sean Paul,Dutty Rock,2002
Like Glue,Sean Paul,Dutty Rock,2002
Temperature,Sean Paul,The Trinity,2005
We Be Burnin',Sean Paul,The Trinity,2005
Give It Up to Me,Sean Paul,The Trinity,2005
Romie,Beenie Man,Maestro,1996
Heads High,Mr. Vegas,Heads High,1998
Under Mi Sleng Teng,Wayne Smith,Sleng Teng,1985
Welcome to Jamrock,Damian Marley,Welcome to Jamrock,2005
Road to Zion,Damian Marley feat. Nas,Welcome to Jamrock,2005
Kingston Town,UB40,Labour of Love II,1989
Red Red Wine,UB40,Labour of Love,1983
(I Can't Help) Falling in Love with You,UB40,Promises and Lies,1993
Sweat (A La La La La Long),Inner Circle,Bad to the Bone,1992
Bad Boys,Inner Circle,Bad to the Bone,1993
Electric Avenue,Eddy Grant,Killer on the Rampage,1982
Gimme Hope Jo'anna,Eddy Grant,File Under Rock,1988
Pass the Dutchie,Musical Youth,The Youth of Today,1982
Now That We Found Love,Third World,Journey to Addis,1978
Try Jah Love,Third World,You've Got the Power,1982
Ku Klux Klan,Steel Pulse,Handsworth Revolution,1978
Your House,Steel Pulse,True Democracy,1982
Here Comes the Hotstepper,Ini Kamoze,Here Comes the Hotstepper,1994
Close to You,Maxi Priest,Bonafide,1990
Housecall,Shabba Ranks feat. Maxi Priest,As Raw As Ever,1991
Action,Terror Fabulous feat. Nadine Sutherland,Yaga Yaga,1994
Zungguzungguguzungguzeng,Yellowman,Zungguzungguguzungguzeng,1983
Hot Hot Hot,Arrow,Hot Hot Hot,1982
Dollar Wine,Colin Lucas,Dollar Wine,1991
Follow the Leader,The Soca Boys,Follow the Leader,1998
Who Let the Dogs Out,Baha Men,Who Let the Dogs Out,2000
Jump in the Line,Harry Belafonte,Jump Up Calypso,1961
Day-O (The Banana Boat Song),Harry Belafonte,Calypso,1956
Jamaica Farewell,Harry Belafonte,Calypso,1956
Matilda,Harry Belafonte,Calypso,1956
Mary Ann,Roaring Lion,Calypso Classics,1939
Jean and Dinah,Mighty Sparrow,Calypso Carnival,1956
Feeling Hot Hot Hot,The Merrymen,The Best of the Merrymen,1983
Tiny Winey,Byron Lee & The Dragonaires,Tiny Winey,1984
Dollar Wine Dance,Byron Lee & The Dragonaires,Soca Butterfly,1991
Turn It Around,Square One,Turn It Around,1997
Faluma,Alison Hinds,Soca Queen,2007
Roll It Gal,Alison Hinds,Soca Queen,2007
It's Carnival,Destra Garcia,Red White Black,2003
Lucy,Destra Garcia,Queen,2015
Like Ah Boss,Machel Montano,Monk Evolution,2015
Fast Wine,Machel Montano,Fast Wine,2016
Mr. Fete,Machel Montano,Double M,2012
Advantage,Machel Montano,Advantage,2011
Differentology,Bunji Garlin,Differentology,2013
Truck on D Road,Bunji Garlin,Differentology,2014
Savannah Grass,Kes,Savannah Grass,2019
Hello,Kes,Hello,2017
Workout,Kes,Workout,2017
Hello Africa,Kes the Band,Kes the Band,2010
Turn Me On,Kevin Lyttle feat. Spragga Benz,Kevin Lyttle,2003
Big Truck,Machel Montano,Big Truck,1997
Soca Kingdom,Machel Montano & Superblue,Soca Kingdom,2018
Lorraine,Explainer,Lorraine,1982
Fire in Me,Calypso Rose,Far From Home,2016
Calypso Queen,Calypso Rose,Calypso Queen,1977
Long Time,Arrow,Long Time,1990
Pump Me Up,Krosfyah,Ultimate Party,1995
Sak Pase,Machel Montano,Heavenly Drum,2009
No Games,Serani,No Games,2008
Hold Yuh,Gyptian,Hold You,2010
Beautiful Girls,Sean Kingston,Sean Kingston,2007
Fire Burning,Sean Kingston,Tomorrow,2009
Take You There,Sean Kingston,Sean Kingston,2007
Cheerleader,Felix Jaehn Remix,OMI,Me 4 U,2014
Toast,Koffee,Rapture,2018
W,Koffee feat. Gunna,W,2019
Rock and Groove,Bunny Wailer,Rock 'n' Groove,1981
Legalize It,Peter Tosh,Legalize It,1976
Johnny B. Goode,Peter Tosh,Mama Africa,1983
Don't Turn Around,Aswad,Distant Thunder,1988
Shine,Aswad,Rise and Shine,1994
Black Roses,Barrington Levy,Englishman,1979
Guess Who's Coming to Dinner,Black Uhuru,Guess Who's Coming to Dinner,1979
Sinsemilla,Black Uhuru,Sinsemilla,1980
Night Nurse,Gregory Isaacs,Night Nurse,1982
Soon Forward,Gregory Isaacs,Soon Forward,1979
Love Is Overdue,Gregory Isaacs,Love Is Overdue,1974
Silly Games,Janet Kay,Capricorn Woman,1979
Telephone Love,J.C. Lodge,Telephone Love,1988
I'm Still in Love with You,Alton Ellis,I'm Still in Love with You,1967
Queen Majesty,The Techniques,Queen Majesty,1967
My Boy Lollipop,Millie Small,My Boy Lollipop,1964
Liquidator,Harry J All Stars,Liquidator,1969
A Message to You Rudy,The Specials,The Specials,1979
Monkey Man,The Specials,The Specials,1979
Rudy A Message to You,Dandy Livingstone,Rudy A Message to You,1967
Carry Go Bring Come,Justin Hinds & The Dominoes,Carry Go Bring Come,1964
Sweet Jamaica,Tony Rebel,Rebel With a Cause,1992
Sorry,Justin Bieber feat. Skrillex & BloodPop,Purpose,2015
Cheap Thrills,Sia feat. Sean Paul,This Is Acting,2016
Rockabye,Clean Bandit feat. Sean Paul & Anne-Marie,What Is Love?,2016
Mad Love,Sean Paul & David Guetta feat. Becky G,Mad Love,2018
Light It Up,Major Lazer feat. Nyla & Fuse ODG,Peace Is the Mission,2015
Lean On,Major Lazer & DJ Snake feat. MØ,Peace Is the Mission,2015
Watch Out for This (Bumaye),Major Lazer feat. Busy Signal,Free the Universe,2013
Pon de Floor,Major Lazer feat. Vybz Kartel,Major Lazer Essentials,2009
Hold the Line,Major Lazer feat. Mr. Lexx & Santigold,Guns Don't Kill People... Lazers Do,2009
Caribbean Queen (No More Love on the Run),Billy Ocean,Suddenly,1984
Get Outta My Dreams Get Into My Car,Billy Ocean,Tear Down These Walls,1988
Loverboy,Billy Ocean,Suddenly,1984
Romantic Call,Patra feat. Yo-Yo,Queen of the Pack,1993
Worker Man,Patra,Queen of the Pack,1993
Bam Bam,Chaka Demus & Pliers,All She Wrote,1993
Only Man She Want,Popcaan,Where We Come From,2011
Party Shot,Popcaan,Bay Badness,2012
Everything Nice,Popcaan,Where We Come From,2014
Love Yuh Bad,Popcaan,Where We Come From,2014
Family,Popcaan,Forever,2017
Silence,Popcaan,Forever,2018
Firm and Strong,Popcaan,Forever,2018
Wine For Me,Popcaan,Forever,2018
Numbers Don't Lie,Popcaan,Vanquish,2019
Promise,Popcaan,Vanquish,2019
Twist & Turn,Popcaan feat. Drake & PARTYNEXTDOOR,FIXTAPE,2020
We Caa Done,Popcaan feat. Drake,Great Is He,2023
Boat Drinks,Jimmy Buffett,Volcano,1979
