Title,Artist,Album,Year
Separate Ways (Worlds Apart),Journey,Frontiers,1983
Working for the Weekend,Loverboy,Get Lucky,1981
Turn Up the Radio,Autograph,Sign In Please,1984
Cum on Feel the Noize,Quiet Riot,Metal Health,1983
Nothin' but a Good Time,Poison,Open Up and Say... Ahh!,1988
Cherry Pie,Warrant,Cherry Pie,1990
We're Not Gonna Take It,Twisted Sister,Stay Hungry,1984
I Wanna Rock,Twisted Sister,Stay Hungry,1984
The Stroke,Billy Squier,Don't Say No,1981
Lonely Is the Night,Billy Squier,Don't Say No,1981
Hold On Loosely,38 Special,Wild-Eyed Southern Boys,1981
Caught Up in You,38 Special,Special Forces,1982
More Than a Feeling,Boston,Boston,1976
Renegade,Styx,Pieces of Eight,1978
Carry on Wayward Son,Kansas,Leftoverture,1976
Barracuda,Heart,Little Queen,1977
Magic Man,Heart,Dreamboat Annie,1975
Hit Me with Your Best Shot,Pat Benatar,Crimes of Passion,1980
You Better Run,Pat Benatar,Crimes of Passion,1980
Jessie's Girl,Rick Springfield,Working Class Dog,1981
Your Love,The Outfield,Play Deep,1985
Dancing with Myself,Billy Idol,Billy Idol,1982
Rebel Yell,Billy Idol,Rebel Yell,1983
Burnin' for You,Blue Öyster Cult,Fire of Unknown Origin,1981
Twilight Zone,Golden Earring,Cut,1982
The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,RocKihnRoll,1981
867-5309/Jenny,Tommy Tutone,Tommy Tutone 2,1981
I Ran (So Far Away),A Flock of Seagulls,A Flock of Seagulls,1982
Major Tom (Coming Home),Peter Schilling,Error in the System,1983
Mexican Radio,Wall of Voodoo,Call of the West,1982
Cars,Gary Numan,The Pleasure Principle,1979
Take on Me,a-ha,Hunting High and Low,1985
You Shook Me All Night Long,AC/DC,Back in Black,1980
Highway to Hell,AC/DC,Highway to Hell,1979
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,Not Fragile,1974
Old Time Rock and Roll,Bob Seger & The Silver Bullet Band,Stranger in Town,1978
Hurts So Good,John Mellencamp,American Fool,1982
Jack & Diane,John Mellencamp,American Fool,1982
Centerfold,The J. Geils Band,Freeze-Frame,1981
Old Time Rock and Roll,Bob Seger & The Silver Bullet Band,Stranger in Town,1978
The Heart of Rock & Roll,Huey Lewis & The News,Sports,1983
Footloose,Kenny Loggins,Footloose,1984
Danger Zone,Kenny Loggins,Top Gun,1986
Mony Mony,Billy Idol,Vital Idol,1987
You Spin Me Round (Like a Record),Dead or Alive,Youthquake,1985
Wake Me Up Before You Go-Go,Wham!,Make It Big,1984
You Make My Dreams,Daryl Hall & John Oates,Voices,1980
Everybody Have Fun Tonight,Wang Chung,Mosaic,1986
Faith,George Michael,Faith,1987
Maniac,Michael Sembello,Flashdance,1983
The Safety Dance,Men Without Hats,Rhythm of Youth,1982
Come on Eileen,Dexys Midnight Runners,Too-Rye-Ay,1982
You Might Think,The Cars,Heartbeat City,1984
Don't Bring Me Down,Electric Light Orchestra,Discovery,1979
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,1977
Some Kind of Wonderful,Grand Funk Railroad,All the Girls in the World Beware!!!,1974
We're an American Band,Grand Funk Railroad,We're an American Band,1973
Joy to the World,Three Dog Night,Naturally,1970
Hooked on a Feeling,Blue Swede,Hooked on a Feeling,1974
Stuck in the Middle with You,Stealers Wheel,Stealers Wheel,1972
December 1963 (Oh What a Night),The Four Seasons,Who Loves You,1975
Build Me Up Buttercup,The Foundations,Build Me Up Buttercup,1968
Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,1967
Sweet Caroline,Neil Diamond,Brother Love's Travelling Salvation Show,1969
The Joker,Steve Miller Band,The Joker,1973
Rock'n Me,Steve Miller Band,Fly Like an Eagle,1976
Centerfield,John Fogerty,Centerfield,1985
Glory Days,Bruce Springsteen,Born in the U.S.A.,1984
Dancing in the Dark,Bruce Springsteen,Born in the U.S.A.,1984
Authority Song,John Mellencamp,Uh-Huh,1983
Somebody's Baby,Jackson Browne,Fast Times at Ridgemont High,1982
Two Tickets to Paradise,Eddie Money,Eddie Money,1977
Take Me Home Tonight,Eddie Money,Can't Hold Back,1986
I Think We're Alone Now,Tiffany,Tiffany,1987
Heaven Is a Place on Earth,Belinda Carlisle,Heaven on Earth,1987
Manic Monday,The Bangles,Different Light,1986
Walk Like an Egyptian,The Bangles,Different Light,1986
Love Shack,The B-52's,Cosmic Thing,1989
Roam,The B-52's,Cosmic Thing,1989
I'm Gonna Be (500 Miles),The Proclaimers,Sunshine on Leith,1988
Tubthumping,Chumbawamba,Tubthumper,1997
Semi-Charmed Life,Third Eye Blind,Third Eye Blind,1997
The Middle,Jimmy Eat World,Bleed American,2001
1985,Bowling for Soup,A Hangover You Don't Deserve,2004
Are You Gonna Be My Girl,Jet,Get Born,2003
Mr. Brightside,The Killers,Hot Fuss,2004
Shut Up and Dance,WALK THE MOON,TALKING IS HARD,2014
